id,pali,class_source,class_sutta,class_example,english_translation
23186,kosalā,SN 55.6 (simpl),sotānugatasuttaṃ,suṇāma: <b>kosalehi</b> mallesu pakkamati,We hear: (the Blessed One) sets out from the Kosalans (on tour) in the Mallans.
23612,khādati,VIN PAT PC 36,pārājikakaṇḍaṃ,handa bhikkhu <b>khāda</b> vā bhuñja vā,"Come on, bhikkhu, eat or consume!"
24654,gahapati,SN 41.3,Cittasuttaṃ,"<b>gahapati</b>, pucchasi — “... diṭṭhiyo loke uppajjanti…","You ask, householder: “…views arise in the world…”"
26837,cīvaracetāpanna,VIN PAT NP 10,paṭiggaṇhātusuttaṃ,paṭiggaṇhātu āyasmā <b>cīvaracetāpannaṃ</b>,Let the venerable receive the robe-fund.
27111,ceteti,SN 35.248 (simpl),puthujjanasuttaṃ,puthujjano punabbhavāya <b>ceteti</b>,A common person intends for rebirth.
28484,jināti 2,DHP 354,dhammapadaratanaṃsuttaṃ,<b>jināti</b> sabbarasaṃ dhammaraso,The flavour of the Dhamma surpasses all other flavours.
28726,jotipāla 1,DN 19.7 (simpl),rājā jotipālaṃ māṇavaṃ āmantayati,rājā <b>jotipālaṃ</b> māṇavaṃ āmantayati,"The king addresses the young gentleman (brahmin), Protector of the Light (Jotipāla)."
29089,ṭhita 3,MN 64,ānapanasatisuttaṃ,so tattha <b>ṭhito</b> āsavānaṃ khayaṃ pāpuṇāti.,"Remaining there, he reaches the destruction of the defilements."
29587,tattha 2,MN 64,Mahā-Māluṅkya Sutta,so <b>tattha</b> ṭhito āsavānaṃ khayaṃ pāpuṇāti.,"Remaining there, he reaches the destruction of the defilements."
30135,tasati,DHP 130,sabbedaṇḍasuttaṃ,sabbe <b>tasanti</b> daṇḍassa.,All are fearful of a stick.
30488,tiṭṭhati,SNP 22,tiṭṭhatisuttaṃ,devā manussā ca sitā <b>tiṭṭhanti</b>,Deities and human beings remain attached.
31761,daṇḍa 1,DHP 130,daṇḍavaggaṃ,sabbe tasanti <b>daṇḍassa</b>.,All are fearful of a stick.
32479,diṭṭhi,SN 41.3,cūḷasīhanādasuttaṃ,"gahapati, pucchasi — “... <b>diṭṭhiyo</b> loke uppajjanti…","You ask, householder: '...views arise in the world...'"
34841,dhammarasa,DHP 354,sabbarasasuttaṃ,<b>dhammaraso</b> jināti,The flavour of the Dhamma surpasses all other flavours.
35128,dhāreti,MN 133 (simpl),Mahākaccānabhadasuttaṃ,"<b>dhārehi</b>, bhikkhu, uddesaṃ ca vibhaṅgaṃ ca","Remember, monk, the summary and the analysis."
37570,nibbāna 2,SN 56.11 (simpl),paṭipadāsuttaṃ,paṭipadā upasamāya sambodhāya <b>nibbānāya</b> saṃvattati,"The path of practice is conducive for calmness, full awakening [and] total emancipation."
39074,pakkamati,SN 55.6 (simpl),paṭhamamallikasuttaṃ,suṇāma: kosalehi mallesu <b>pakkamati</b>,We hear: (the Blessed One) sets out from the Kosalans (on tour) in the Mallans.
39322,paccattaṃ,MN 48,dasuttarasuttaṃ,labhāmi <b>paccattaṃ</b> samathaṃ,I obtain serenity individually.
39683,pajahati,SN 22.25 (simpl),jiṇṇasuttaṃ,saṅkhāresu chandaṃ ca rāgaṃ <b>pajahatha</b>.,Abandon interest and desire for volitional formations.
40314,paṭiggaṇhāti,VIN PAT NP 10,cīvaracetāpannasuttaṃ,<b>paṭiggaṇhātu</b> āyasmā cīvaracetāpannaṃ,Let the venerable receive the robe-fund.
40689,paṭibhāti,SN 22.1 (simpl),sīlakhandhavaggo,sādhu āyasmantaṃ sāriputtaṃ <b>paṭibhātu</b> etassa bhāsitassa attho,It would be good if the meaning of this statement may become evident to Venerable Sāriputta. (so that he could explain it to us)
40774,paṭilabhati,MN 27,culahatthipadopamasuttaṃ,<b>paṭilabhati</b>,He obtains faith in the Tathāgata.
40898,paṭisaṃvedeti,DN 22.18,mahāsatipaṭṭhānasuttaṃ,sukhaṃ ca kāyena <b>paṭisaṃvedeti</b>,He experiences pleasure by means of the body.
40946,paṭisevati 2,MN 2.4,Vivekanissitasuttaṃ,parikkhāraṃ <b>paṭisevāmi</b>,I make use of the requisite.
41989,patha 2,MN 104 (simpl),saṅgītisuttaṃ,"passatha, ānanda, vacanassa <b>pathaṃ</b>","You see, Ānanda, a course of speech"
43235,parikkhāra 1,MN 2.4,parikkhārasuttaṃ,<b>parikkhāraṃ</b> paṭisevāmi,I make use of the requisite.
43711,paripūreti,MN 39 (simpl),mahāassāpasūda suttā,so kāyaṃ vivekajena pītisukhena <b>paripūreti</b>,He completely fills up the body with joy and happiness produced by seclusion.
43974,pariyāya,SNP 34,passalokasuttam,passa lokassa <b>pariyāyaṃ</b>.,See the nature of the world.
44736,passa,SNP 34,passalokasuttaṃ,<b>passa</b> lokassa pariyāyaṃ.,See the nature of the world.
44738,passati 1,MN 104 (simpl),ānāpānassatisuttaṃ,"<b>passatha</b>, ānanda, vacanassa pathaṃ","You see, Ānanda, a course of speech"
44772,passasi,VIN,āpattibhāṇavārasuttaṃ,passasi taṃ <b>āpattiṃ</b>,You see that offence.
45428,pātimokkha,MN 107 (simpl),anupubbakathāsuttaṃ,<b>pātimokkhe</b> saṃvarena viharāhi,Dwell with restraint according to the disciplinary code!
45663,pāpuṇāti,MN 64,mahārāhulovādasuttaṃ,so tattha ṭhito āsavānaṃ khayaṃ <b>pāpuṇāti</b>.,"Remaining there, he reaches the destruction of the defilements."
46448,puggala,MN 30 (simpl),culasāropamasuttaṃ,"brāhmaṇa, <b>puggalaṃ</b> vadāmi.","O brahmin, I speak (about) a person."
46484,pucchati,SN 41.3,cūḷagosiṅgasuttaṃ,"gahapati, <b>pucchasi</b> — “… diṭṭhiyo loke uppajjanti…","You ask, householder: “…views arise in the world…”"
46624,putta,MN 27 (simpl),cūḷahatthipadopamasuttaṃ,dhammaṃ suṇāti <b>putto</b>,The son listens to the Dhamma.
46680,puthujjana,SN 35.248 (simpl),suddhikasuttaṃ,<b>puthujjano</b> punabbhavāya ceteti,A common person intends for rebirth.
46750,punabbhava,SN 35.248 (simpl),chachakka sutta,puthujjano <b>punabbhavāya</b> ceteti,A common person intends for rebirth.
49558,bhavantaṃ,Class 3,null,ahaṃ <b>bhavantaṃ</b> gotamaṃ saraṇaṃ gacchāmi,I go for refuge to the master Gotama
49753,bhāsati,MN 36,cūḷasaccakasuttaṃ,"taṃ suṇāhi, sādhukaṃ manasi karohi, <b>bhāsissāmi</b>","Listen to that, pay attention, I will speak."
50083,bhuñjati 1,VIN PAT PC 36,bhuñjeyyasuttaṃ,handa bhikkhu khāda vā <b>bhuñja</b> vā,"Come on, bhikkhu, eat or consume!"
51112,manasi,MN 36,cūḷasuññatasuttaṃ,"taṃ suṇāhi, <b>manasi</b> karohi, bhāsissāmi","Listen to that, pay attention, I will speak."
51124,manasikaroti,MN 36,chabbisodhanasuttaṃ,"taṃ suṇāhi, sādhukaṃ <b>manasi karohi</b>, bhāsissāmi","Listen to that, pay attention, I will speak."
51536,mallā,SN 55.6 (simpl),sakacāmābhisandasutta,suṇāma: kosalehi <b>mallesu</b> pakkamati,We hear: (the Blessed One) sets out from the Kosalans (on tour) in the Mallans.
52158,māṇava,DN 19.7 (simpl),mahāgovindasuttaṃ,rājā jotipālaṃ <b>māṇavaṃ</b> āmantayati,"The king addresses the young gentleman (brahmin), Protector of the Light (Jotipāla)."
54685,rasa 1,DHP 354,sabbarasasuttaṃ,<b>sabbarasaṃ</b> dhammaraso jināti,The flavour of the Dhamma surpasses all other flavours.
54947,rājā,DN 19.7 (simpl),mahāgovindasuttaṃ,<b>rājā</b> jotipālaṃ māṇavaṃ āmantayati,"The king addresses the young gentleman (brahmin), Protector of the Light (Jotipāla)."
55630,labhati,MN 27,cūḷahatthipadopamasuttaṃ,MN 27 tathāgate saddhaṃ <b>paṭilabhati</b>,He obtains faith in the Tathāgata.
58941,sabbarasa,DHP 354,dhammapadapāḷi,<b>sabbarasaṃ</b> dhammaraso jināti,The flavour of the Dhamma surpasses all other flavours.
59032,sabbe,DHP 354,Dhp 354. sabbarasaṃ dhammaraso jināti,<b>sabbe</b>rasaṃ dhammaraso jināti,The flavour of the Dhamma surpasses all other flavours.
59296,samatha,MN 48,kosambiyaṃ,labhāmi paccattaṃ <b>samathaṃ</b>,I obtain serenity individually.
60601,sambodha,SN 56.11 (simpl),paṭipadāsuttaṃ,paṭipadā upasamāya <b>sambodhāya</b> nibbānāya saṃvattati,"The path of practice is conducive for calmness, full awakening [and] total emancipation."
61001,saraṇa,DHP 130,dhammapadasuttaṃ,ahaṃ bhavantaṃ gotamaṃ <b>saraṇaṃ</b> gacchāmi,I go for refuge to the master Gotama
61869,saṃvattati,SN 56.11 (simpl),paṭipadāsuttaṃ,paṭipadā upasamāya sambodhāya nibbānāya <b>saṃvattati</b>,"The path of practice is conducive for calmness, full awakening [and] total emancipation."
61886,saṃvara,MN 107 (simpl),anupadadhammavaggo,pātimokkhe <b>saṃvarena</b> viharāhi,Dwell with restraint according to the disciplinary code!
62222,sādhu 3,SN 22.1 (simpl),Vacchagottasuttaṃ,sādhu āyasmantaṃ sāriputtaṃ paṭibhātu etassa bhāsitassa attho,It would be good if the meaning of this statement may become evident to Venerable Sāriputta.
62227,sādhukaṃ,MN 36,cūḷasaccakasuttaṃ,"taṃ suṇāhi, <b>sādhukaṃ</b> manasi karohi, bhāsissāmi","Listen to that, pay attention, I will speak."
62518,sāriputta,SN 22.1 (simpl),sāriputtasuttaṃ,sādhu āyasmantaṃ <b>sāriputtaṃ</b> paṭibhātu etassa bhāsitassa attho,It would be good if the meaning of this statement may become evident to Venerable Sāriputta. (so that he could explain it to us)
63456,sukha 2,DN 22.18,mahāsatipaṭṭhānasuttaṃ,<b>sukhaṃ</b> ca kāyena paṭisaṃvedeti,He experiences pleasure by means of the body.
63756,suṇāti,MN 27 (simpl),culahatthipadopamasuttaṃ,dhammaṃ <b>suṇāti</b> putto,The son listens to the Dhamma.
63758,suṇātu,MN 36,māhaparisāsuttaṃ,"taṃ <b>suṇāhi</b>, sādhukaṃ manasi karohi, bhāsissāmi","Listen to that, pay attention, I will speak."
66122,vadati 1,MN 30 (simpl),brāhmaṇasuttaṃ,<b>vadāmi</b>.,"O Brahmin, I speak (about) a person."
68557,vibhaṅga 1,MN 133 (simpl),mahākaccānābhidhammasuttaṃ,"dhārehi, bhikkhu, uddesaṃ ca <b>vibhaṅgaṃ</b> ca","Remember, monk, the summary and the analysis."
69606,vivekaja,MN 39 (simpl),Mahā-Assapura Sutta,so kāyaṃ <b>vivekajena</b> pītisukhena paripūreti,He completely fills up the body with joy and happiness produced by seclusion.
69661,viharati 1,AN 4.180 (simpl),therānaṃsenāsanavandanāsuttaṃ,āvāse therā <b>viharanti</b>,The elders dwell in the residence.
75647,pītisukha,MN 39 (simpl),mahā āsādāyīsuttaṃ,so kāyaṃ vivekajena <b>pītisukhena</b> paripūreti,He completely fills up the body with joy and happiness produced by seclusion.
