id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation
44772,passasi 1.1,passasi,VIN,unknown,<b>passasi</b> taṃ āpattiṃ,You see that offence.
45428,pātimokkha 2,pātimokkhe,MN 107 (simpl),unknown,pātimokkhe saṃvarena viharāhi,Dwell with restraint according to the disciplinary code!
45663,pāpuṇāti 1,pāpuṇāti,MN 64,unknown,so tattha ṭhito āsavānaṃ khayaṃ <b>pāpuṇāti</b>.,"Remaining there, he reaches the destruction of the defilements."
46448,puggala,puggalaṃ,MN 30 (simpl),unknown,"brāhmaṇa, <b>puggalaṃ</b> vadāmi.","O brahmin, I speak (about) a person."
46484,pucchati,pucchasi,SN 41.3,unknown,"gahapati, <b>pucchasi</b> — “... diṭṭhiyo loke uppajjanti…","You ask, householder: “…views arise in the world…”"
46624,putta 1,putto,MN 27 (simpl),unknown,dhammaṃ suṇāti <b>putto</b>,The son listens to the Dhamma.
46680,puthujjana,puthujjano,SN 35.248 (simpl),unknown,<b>puthujjano</b> punabbhavāya ceteti,A common person intends for rebirth.
46750,punabbhava,punabbhavāya,SN 35.248 (simpl),unknown,puthujjano <b>punabbhavāya</b> ceteti,A common person intends for rebirth.
49558,bhavantaṃ,bhavantaṃ,MN4,unknown,ahaṃ <b>bhavantaṃ</b> gotamaṃ saraṇaṃ gacchāmi,I go for refuge to the master Gotama
49753,bhāsati 1.1,,,,,
50083,bhuñjati 1,bhuñja,VIN PAT PC 36,unknown,handa bhikkhu khāda vā <b>bhuñja</b> vā,"Come on, bhikkhu, eat or consume!"
51112,manasi,manasi,MN 36,unknown,"taṃ suṇāhi, sādhukaṃ <b>manasi</b> karohi, bhāsissāmi","Listen to that, pay attention, I will speak."
51124,manasikaroti,manasi karohi,MN 36,unknown,"taṃ suṇāhi, sādhukaṃ <b>manasi karohi</b>, bhāsissāmi","Listen to that, pay attention, I will speak."
51536,mallā,mallā,SN 55.6 (simpl),unknown,suṇāma: kosalehi <b>mallā</b>su pakkamati,We hear: (the Blessed One) sets out from the Kosalans (on tour) in the Mallans.
52158,māṇava 1,māṇavaṃ,DN 19.7 (simpl),unknown,rājā jotipālaṃ <b>māṇavaṃ</b> āmantayati,"The king addresses the young gentleman (brahmin), Protector of the Light (Jotipāla)."
54685,rasa 1,sabbarasaṃ,DHP 354,unknown,sabbarasaṃ dhammaraso jināti,The flavour of the Dhamma surpasses all other flavours.
54947,rājā,rājā,DN 19.7 (simpl),mahāgovindasuttaṃ,<b>rājā</b> jotipālaṃ māṇavaṃ āmantayati,"The king addresses the young gentleman (brahmin), Protector of the Light (Jotipāla)."
55630,labhati 1,paṭilabhati,MN 27,unknown,tathāgate saddhaṃ <b>paṭilabhati</b>,He obtains faith in the Tathāgata.
58941,sabbarasa,sabbarasaṃ,DHP 354,unknown,sabbarasaṃ dhammaraso jināti,The flavour of the Dhamma surpasses all other flavours.
59032,sabbe,sabbe,DHP 130,unknown,<b>sabbe</b> tasanti daṇḍassa.,All are fearful of a stick.
59296,samatha 1.1,,,,,
60601,sambodha,sambodhāya,SN 56.11 (simpl),unknown,paṭipadā upasamāya <b>sambodhāya</b> nibbānāya saṃvattati,"The path of practice is conducive for calmness, full awakening [and] total emancipation."
61001,saraṇa 1.1,saraṇaṃ,MN4,unknown,ahaṃ bhavantaṃ gotamaṃ <b>saraṇaṃ</b> gacchāmi,I go for refuge to the master Gotama
61869,saṃvattati,saṃvattati,SN 56.11 (simpl),unknown,paṭipadā upasamāya sambodhāya nibbānāya <b>saṃvattati</b>,"The path of practice is conducive for calmness, full awakening [and] total emancipation."
61886,saṃvara 1,saṃvarena,MN 107 (simpl),unknown,pātimokkhe <b>saṃvarena</b> viharāhi,Dwell with restraint according to the disciplinary code!
62222,sādhu 3,sādhu,SN 22.1 (simpl),unknown,<b>sādhu</b> āyasmantaṃ sāriputtaṃ paṭibhātu etassa bhāsitassa attho,It would be good if the meaning of this statement may become evident to Venerable Sāriputta. (so that he could explain it to us); Fig: It would be good if Ven. Sāriputta would explain the meaning of this statement.
62227,sādhukaṃ,sādhukaṃ,MN 36,unknown,"taṃ suṇāhi, <b>sādhukaṃ</b> manasi karohi, bhāsissāmi","Listen to that, pay attention, I will speak."
62518,sāriputta,sāriputtassa,MN 43,unknown,āyasmato <b>sāriputtassa</b> bhāsitaṃ evaṃ ājānāma,We understand the statement of venerable Sāriputta thus.
63456,sukha 2,sukhena,MN 39 (simpl),unknown,so kāyaṃ vivekajena pīti<b>sukhena</b> paripūreti,He completely fills up the body with joy and happiness produced by seclusion.
63756,suṇāti 1,suṇāti,MN 36,unknown,"taṃ <b>suṇāti</b>, sādhukaṃ manasi karohi, bhāsissāmi","Listen to that, pay attention, I will speak."
63758,suṇātu,suṇāti,MN 27 (simpl),unknown,dhammaṃ <b>suṇāti</b> putto,The son listens to the Dhamma.
66122,vadati 1,vadāmi,MN 30 (simpl),unknown,"brāhmaṇa, puggalaṃ <b>vadāmi</b>.","O brahmin, I speak (about) a person."
68557,vibhaṅga 1,vibhaṅgaṃ,MN 133 (simpl),unknown,"dhārehi, bhikkhu, uddesaṃ ca <b>vibhaṅgaṃ</b> ca","Remember, monk, the summary and the analysis."
69606,vivekaja,vivekajena,MN 39 (simpl),unknown,so kāyaṃ <b>vivekajena</b> pītisukhena paripūreti,He completely fills up the body with joy and happiness produced by seclusion.
69661,viharati 1,viharanti,AN 4.180 (simpl),unknown,āvāse therā <b>viharanti</b>,The elders dwell in the residence.
75647,pītisukha 2,pītisukhena,MN 39 (simpl),unknown,so kāyaṃ vivekajena <b>pītisukhena</b> paripūreti,He completely fills up the body with joy and happiness produced by seclusion.
