id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation,explanation
11040,ākāsa 1.2,,,,,,
12812,āsava 1.2,,,,,,
13049,āvāsa 1,āvāse,MN 99,unknown,<b>āvāse</b> vassaṃ,(entered) the rainy season at the dwelling place.,
13479,itipi,itipi,VIN 1.1.3,unknown,<b>itipi</b> so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
14712,uttari 1.1,uttarissa,DN 22.5,unknown,<b>uttarissa</b> manussassa dhammo alam’ariyo ñāṇadassanassa viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
14727,uttarimanussadhamma,uttarissa manussassa dhammo,DN 22.5,unknown,uttarissa manussassa dhammo alam’ariyo ñāṇadassanassa viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
15111,uddisati 1,uddiseyya,VIN PAT NID nidānuddeso,unknown,"saṅgho uposathaṃ kareyya, pātimokkhaṃ <b>uddiseyya</b>",The community of monks could make an observance day [and] would recite the training rules.,
16316,upādāna 2,upādāna-nirodho,SN 10.8,unknown,"taṇhā-nirodhā <b>upādāna-nirodho</b>, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
16380,upāyāsa 1,upāyāsā,SN 10.8,unknown,jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'<b>upāyāsā</b> nirujjhanti.,"from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
16404,upāsaka,,,,,,
16502,uposatha 1,uposathaṃ,VIN PAT NID nidānuddeso,unknown,"saṅgho <b>uposathaṃ</b> kareyya, pātimokkhaṃ uddiseyya",The community of monks could make an observance day [and] would recite the training rules.,
16596,uppanna 1,uppanno,SN 10.8,unknown,buddho kira loke <b>uppanno</b>,A Buddha has indeed arisen in the world.,
16653,uppāda 1.1,uppanno,TH 257 (simpl),unknown,buddho kira loke <b>uppanno</b>,A Buddha has indeed arisen in the world.,
18216,ehi,,,,,,
20558,karoti 1,,,,,,
20798,kassapa 1,kassapassa,AN 8.19,unknown,in the discipline of the <b>Kassapa</b>,in the discipline of the Kassapa,
20959,kāma 3,kāmehi,TH 251,unknown,5. <b>kāmehi</b> lokamhi,[there is no satisfaction] by sensual pleasures in the world,
21131,kāya 1.1,kāyassa,AN 10.29,unknown,1. <b>kāyassa</b> bhedā,From the break-up of the body,
21807,kira 1,kira,SN 10.8,unknown,buddho <b>kira</b> loke uppanno,A Buddha has indeed arisen in the world.,
22853,kesa 1,kesā,VIN PAT SE 55 (simpl),unknown,atthi imasmiṃ kāye <b>kesā</b> lomā nakhā dantā taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
23439,khandha 3,,,,,,
23520,khaya,,,,,,
24043,gacchati 1,,,,,,
24384,gabbha 3,,,,,,
24742,gāma 1,,,,,,
25265,gotama 1,gotamo,SN 22.57,unknown,2. <b>samaṇo gotamo</b>,The recluse Gotama,
26276,carati 1.1,,,,,,
26368,cāga 1,cāgo,MN 107,gaṇakamoggallānasuttaṃ,<b>cāgo</b> paṭinissaggo anālayo,"The relinquishing, the abandonment, the non-attachment",
26826,cīvara 1,cīvaraṃ,VIN 1.1.4,unknown,gabbhe <b>cīvaraṃ</b>,the robe in the room,
28027,jarā,jarā-maraṇaṃ,SN 10.8,unknown,jāti-nirodhā <b>jarā-maraṇaṃ</b> soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.,"from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
28209,jāti 1,jāti-nirodho,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā <b>jāti-nirodho</b>, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
28861,ñāṇadassana,ñāṇadassanassa,DN 22.5,unknown,uttarissa manussassa dhammo alam’ariyo <b>ñāṇadassanassa</b> viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
28867,ñāṇadassanavisesa,ñāṇadassanassa,DN 22.5,unknown,uttarissa manussassa dhammo alam’ariyo <b>ñāṇadassanassa</b> viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
28957,ñāya,ñāyassa,AN 10.48,unknown,"maggo hoti sokaparidevānaṃ samatikkamāya, <b>ñāyassa</b> adhigamāya, nibbānassa sacchikiriyāya.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
29346,taṇhā 1,taṇhā-nirodho,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā <b>taṇhā-nirodho</b>, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
29667,tathāgata,,,,,,
30163,tassa 1,,,,,,
31388,tveva 1,tv'eva,SN 10.8,unknown,"avijjāya <b>tv'eva</b> asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
31611,thera 1.2,,,,,,
31866,danta 1.1,dantā,VIN PAT SE 55 (simpl),unknown,atthi imasmiṃ kāye kesā lomā nakhā <b>dantā</b> taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
32877,dukkha 3,,,,,,
33953,deti 1,,,,,,
34018,deva 1,devā,SN 56.11,unknown,6. <b>devā</b> manussā,gods and humans,
34108,devamanussā,devamanussānaṃ,VIN 1.1.3,unknown,itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā <b>devamanussānaṃ</b> buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
34195,domanassa,domanass'upāyāsā,SN 10.8,unknown,jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-<b>domanass'upāyāsā</b> nirujjhanti.,"from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
34627,dhamma 1.02,,,,,,
34628,dhamma 1.03,,,,,,
34630,dhamma 1.05,,,,,,
35388,nakha 1,nakhā,VIN PAT SE 55 (simpl),unknown,atthi imasmiṃ kāye kesā lomā <b>nakhā</b> dantā taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
35805,namo,,,,,,
35842,nara,,,,,,
36456,nāmarūpa 1,nāmarūpa-nirodho,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā <b>nāmarūpa-nirodho</b>, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
37999,niraya,nirayaṃ,SN 12.41,unknown,vinipātaṃ <b>nirayaṃ</b>,"[reborn] in a state of suffering, in hell.",
38062,nirujjhati,nirujjhanti,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā <b>nirujjhanti</b>.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
38097,nirodha,nirodhā,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-<b>nirodhā</b> saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
38615,nīvaraṇa 1,nīvaraṇehi,,,,,
40333,paṭiggaheti,paṭiggahessāmi,VIN PAT NID nidānuddeso,unknown,na sāmisena hatthena pānīyassa thālakaṃ <b>paṭiggahessāmi</b> iti sikkhā karaṇīyā,I will not take a cup for drinking water with a soiled hand.,
40494,paṭinissagga,paṭinissaggo,MN 107,gaṇakamoggallānasuttaṃ,cāgo <b>paṭinissaggo</b> anālayo,"The relinquishing, the abandonment, the non-attachment",
41845,patta 1.1,,,,,,
43538,parideva,parideva,SN 10.8,unknown,jāti-nirodhā jarā-maraṇaṃ soka-<b>parideva</b>-dukkha-domanass'upāyāsā nirujjhanti.,"from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
45486,pāda 1,pāde pādaṃ,DN 22.18,mahāsatipaṭṭhānasuttaṃ,pāde <b>pādaṃ</b>,[he places] a foot on a foot,
45566,pānīyathālaka,pānīyassa thālakaṃ,VIN PAT NID nidānuddeso,unknown,na sāmisena hatthena <b>pānīyassa thālakaṃ</b> paṭiggahessāmi iti sikkhā karaṇīyā,I will not take a cup for drinking water with a soiled hand.,
47057,purisadammasārathi,purisadammasārathi,VIN 1.1.3,unknown,itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro <b>purisadammasārathi</b> satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
47646,phassa 1,phassa-nirodho,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā <b>phassa-nirodho</b>, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
48273,bāla 2,bālassa,TH 251,unknown,4. <b>bālassa</b> mohāya,for the delusion of the fool,
48511,buddha 1,buddho,SN 10.8,unknown,<b>buddho</b> kira loke uppanno,A Buddha has indeed arisen in the world.,
49033,brāhmaṇa 1,brāhmaṇena,SN 22.59,unknown,samaṇena vā <b>brāhmaṇena</b> vā devena vā mārena vā,with either a recluse or a brahmin or a deity or Mara,
49034,brāhmaṇa 2,brāhmaṇena,SN 22.59,unknown,samaṇena vā <b>brāhmaṇena</b> vā devena vā mārena vā,with either a recluse or a brahmin or a deity or Mara,
49136,bhagavato 1,bhagavato,VIN 1.1.3,unknown,itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho <b>bhagavā</b>’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
49147,bhagavā,bhagavā,VIN 1.1.3,unknown,itipi so <b>bhagavā</b> arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
49519,bhava 2,bhava-nirodho,SN 10.8,unknown,"upādāna-nirodhā <b>bhava-nirodho</b>, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
50270,bheda 2,bhedā,AN 10.29,unknown,1. kāyassa <b>bhedā</b>,From the break-up of the body,
51177,manussa,manussā,SN 56.11,unknown,devā <b>manussā</b>,gods and humans,
51202,manussadhamma 1,,,,,,
51445,maraṇa,jarā-maraṇaṃ,SN 10.8,unknown,jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.,"from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
52373,māra,mārena,SN 22.59,unknown,samaṇena vā brāhmaṇena vā devena vā <b>mārena</b> vā,with either a recluse or a brahmin or a deity or Mara,
53089,mūla 1,mūlesu,DN 22.1 (simpl),unknown,"araññe rukkhānaṃ <b>mūlesu</b>, kandarāsu guhāsu ca","At the foot of a tree in a forest, in valleys, and in caves.",
53383,moha 1,mohāya,TH 251,unknown,4. bālassa <b>mohāya</b>,for the delusion of the fool,
55044,rukkha 1,rukhhānaṃ,DN 22.1 (simpl),unknown,"araññe <b>rukhhānaṃ</b> mūlesu, kandarāsu guhāsu ca","At the foot of a tree in a forest, in valleys, and in caves.",
55972,loka 1,loke,SN 10.8,unknown,buddho kira <b>loke</b> uppanno,A Buddha has indeed arisen in the world.,
56030,lokavidū,lokavidū,VIN 1.1.3,unknown,itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato <b>lokavidū</b> anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
56117,loma 1,lomā,VIN PAT SE 55 (simpl),unknown,atthi imasmiṃ kāye kesā <b>lomā</b> nakhā dantā taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
56768,saṅkhāra 1,saṅkhāra-nirodho,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā <b>saṅkhāra-nirodho</b>, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
56770,saṅkhāra 3,saṅkhāra-nirodho,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā <b>saṅkhāra-nirodho</b>, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
56989,saṅgha 1,saṅgho,VIN 1.1.3,unknown,"saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya",The community of monks could make an observance day [and] would recite the training rules.,
57194,sacchikiriyā,sacchikiriyāya,AN 10.48,unknown,"maggo hoti sokaparidevānaṃ samatikkamāya, ñāyassa adhigamāya, nibbānassa <b>sacchikiriyāya</b>.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
57894,satthā,satthā,VIN 1.1.3,unknown,itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi <b>satthā</b> devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
59177,samaṇa 1,samaṇena,SN 22.59,unknown,13. <b>samaṇena</b> vā brāhmaṇena vā devena vā mārena vā,with either a recluse or a brahmin or a deity or Mara,
59264,samatikkama,samatikkamāya,AN 10.48,unknown,"maggo hoti sokaparidevānaṃ <b>samatikkamāya</b>, ñāyassa adhigamāya, nibbānassa sacchikiriyāya.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
59451,samaya 1.1,samayena,VIN 1.4.1.2,unknown,aparena <b>samayena</b> buddho,"on another occasion, the Awakened One…",
