id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation
21481,kālena,kālena,VIN PAT NP 10,unknown,"yaṃ kho, bhante, āyasmā veyyāvaccakaraṃ niddisi, saññatto so mayā, upasaṅkamatu āyasmā <b>kālena</b>, cīvarena taṃ acchādessati","Indeed, venerable sir, the steward whom the venerable one has indicated has been instructed by me; let the venerable one approach him at a suitable time; he will clothe you with a robe."
21658,kiñci 2,kiñci,VIN 1.2.12,unknown,“mā maṃ āyasmanto <b>kiñci</b> avacuttha kalyāṇaṃ vā pāpakaṃ vā”,"Venerables, don’t say anything to me, good or bad!"
22809,keci 1,keci,SNP 9,unknown,"ye <b>keci</b> pāṇabhūtā atthi, tasā vā thāvarā vā anavasesā","Whatever living beings there are, whether moving or not moving without exception."
22919,ko,ko,MN 131 (simpl),unknown,"ajja eva ātappaṃ karohi, <b>ko</b> jānāti maraṇaṃ suve",Just make an effort today; who knows [if] death [is] tomorrow?
23956,khemī,,,,,
23966,kho,,,,,
24506,garu 3,garu,AN 5.81,unknown,thero bhikkhu sabrahmacārīnaṃ piyo ca hoti manāpo ca <b>garu</b> ca bhāvanīyo ca.,"An elder monk is dear to [his] fellow monks and pleasant, respected, and worthy of esteem [by them]."
24508,garu 5,garu,AN 5.81,unknown,thero bhikkhu sabrahmacārīnaṃ piyo ca hoti manāpo ca <b>garu</b> ca bhāvanīyo ca.,"An elder monk is dear to [his] fellow monks and pleasant, respected, and worthy of esteem [by them]."
24555,garuṃ karoti,garuṃ karissanti,AN 7.23 (simpl),unknown,bhikkhū there sakkarissanti <b>garuṃ karissanti</b> mānessanti pūjessanti,"Monks will honor, respect, revere, [and] venerate the elders."
25662,ca 2.1,ca,DN 16.26 (simpl),unknown,"dve kassakā bhātaro hatā, cattāro <b>ca</b> balibaddā","Two farmers, [who are] brothers, and four oxen were killed."
25717,cakkhu 1,cakkhu,MN 147,unknown,"taṃ kiṃ maññasi, rāhula, <b>cakkhu</b> niccaṃ vā aniccaṃ vā'ti","What do you think, Rāhula, “Is the eye permanent or impermanent?”"
25746,cakkhumant 2,cakkhumanto,DN 3.15,unknown,<b>cakkhumanto</b> rūpāni dakkhanti,A person with sight sees forms.
26128,cattāro,cattāro,DN 16.26 (simpl),unknown,"dve kassakā bhātaro hatā, <b>cattāro</b> ca balibaddā","Two farmers, [who are] brothers, and four oxen were killed."
26775,cirapabbajita,ciraṃ pabbajitā,AN 7.23 (simpl),unknown,therā rattaññū <b>ciraṃ pabbajitā</b> saṅghassa pitaro saṅghassa pariṇāyakā,"Senior monks of long-standing, [who] have been ordained for a long time, are fathers of the community of monks, guides of the community of monks."
26877,cīvare vikappaṃ āpajjati,cīvare vikappaṃ āpajjissati,VIN PAT NP 8 (simpl),unknown,"ce so bhikkhu, pubbe appavārito, upasaṅkamissati <b>cīvare vikappaṃ āpajjissati</b>","If that monk, previously uninvited, approaches [there], causes an alteration in a robe…"
26896,cuta 1.1,cutā,AN 4.171,unknown,sattā tamhā kāyā <b>cutā</b> āgāmino honti āgantāro itthattaṃ,"Living beings [who] have passed away from that group are returners, who come back to this existence."
27021,ce 1,ce,VIN PAT NP 8 simpl,unknown,"<b>ce</b> so bhikkhu, pubbe appavārito, upasaṅkamissati cīvare vikappaṃ āpajjissati","If that monk, previously uninvited, approaches [there], causes an alteration in a robe…"
28313,jānāti 1,jānāti,MN 131 (simpl),unknown,"ajja eva ātappaṃ karohi, ko <b>jānāti</b> maraṇaṃ suve",Just make an effort today; who knows [if] death [is] tomorrow?
28666,jeṭṭha 1,jeṭṭhamhi,SN 7.15 (simpl),unknown,"mātari pitari ca, atho <b>jeṭṭhamhi</b> bhātari. ācariye ca, tesu na mānaṃ karohi.","Towards mother and father, and after that, towards the eldest brother; and towards the teacher. Do not show conceit towards them."
30060,tamhā,tamhā,AN 4.171,unknown,sattā <b>tamhā</b> kāyā cutā āgāmino honti āgantāro itthattaṃ,"Living beings [who] have passed away from that group are returners, who come back to this existence."
30134,tasa,tasā,SNP 9,unknown,"ye keci pāṇabhūtā atthi, <b>tasā</b> vā thāvarā vā anavasesā","Whatever living beings there are, whether moving or not moving without exception."
30212,taṃ kiṃ maññasi,taṃ kiṃ maññasi,MN 147,unknown,"<b>taṃ kiṃ maññasi</b>, rāhula, cakkhu niccaṃ vā aniccaṃ vā'ti","What do you think, Rāhula, “Is the eye permanent or impermanent?”"
30217,taṃ 2.1,taṃ,MN 152 (simpl),unknown,"satthārā karaṇīyaṃ sāvakānaṃ, kataṃ vo <b>taṃ</b> mayā.","What should be done by a teacher for (his) disciples, that has been done by me for you."
31216,tena 1,tena,MN 131 (simpl),unknown,<b>tena</b> mahāsenena maccunā saṅgaro na hoti,"There is no bargaining with that death, with (his) great army."
31320,tesu,tesu,SN 7.15 (simpl),unknown,"mātari pitari ca, atho jeṭṭhamhi bhātari. ācariye ca, <b>tesu</b> na mānaṃ karohi.","Towards mother and father, and after that, towards the eldest brother; and towards the teacher. Do not show conceit towards them."
31383,tvaṃ 1,tvaṃ,MN 107,gaṇakamoggallānasuttaṃ,ehi <b>tvaṃ</b> bhikkhu bhojane mattaññū hohi,"Come, monk, be moderate with regard to food!"
31486,thāvara,thāvarā,SNP 9,unknown,"ye keci pāṇabhūtā atthi, tasā vā <b>thāvarā</b> vā anavasesā","Whatever living beings there are, whether moving or not moving without exception."
31688,dakkhati 1,dakkhanti,DN 3.15,unknown,cakkhumanto rūpāni <b>dakkhanti</b>,A person with sight sees forms.
31832,dadāti,dadanti,SN 1.47 (simpl),unknown,"ye <b>dadanti</b> upassayaṃ, tesaṃ divā ca ratto ca, sadā puññaṃ pavaḍḍhati","Whoever gives a dwelling, merit increases for them all the time, day and night."
32149,dassī 2,,,,,
32246,dātar 1,dātā,AN 5.37,unknown,sukhassa <b>dātā</b> medhāvī sukhaṃ so adhigacchati,"The intelligent man [who is] a giver of happiness, acquires happiness."
32324,dāra,dārassa,SNP 16,unknown,"mātāpitu upaṭṭhānaṃ, puttassa ca <b>dārassa</b> saṅgaho","The looking after mother and father, the support of the wife and son."
32695,divā,divā,SN 1.47 (simpl),unknown,"ye dadanti upassayaṃ, tesaṃ <b>divā</b> ca ratto ca, sadā puññaṃ pavaḍḍhati","Whoever gives a dwelling, merit increases for them all the time, day and night."
32696,divā ca ratto ca,divā ca ratto ca,SN 1.47 (simpl),unknown,"ye dadanti upassayaṃ, tesaṃ <b>divā ca ratto ca</b>, sadā puññaṃ pavaḍḍhati","Whoever gives a dwelling, merit increases for them all the time, day and night."
34001,deseti 1,deseti,VIN PAT PC 7,unknown,"bhikkhu mātugāmassa uttarichappañcavācāhi dhammaṃ <b>deseti</b>, aññatra viññunā purisaviggahena, pācittiyaṃ.","[If any] monk expounds Dhamma to a woman by means of more than five or six sentences, except [together] with a knowledgeable male, [it is] an offence requiring confession."
34038,devatā,devatā,SN 1.1,unknown,sā <b>devatā</b> bhagavantaṃ etad’avoca,The deity said this to the Blessed One.
34459,dve 1,dve,DN 16.26 (simpl),unknown,"<b>dve</b> kassakā bhātaro hatā, cattāro ca balibaddā","Two farmers, [who are] brothers, and four oxen were killed."
34631,dhamma 1.06,dhammā,AN 8.79,unknown,ime bhikkhave <b>dhammā</b> sekhassa bhikkhuno aparihānāya saṃvattanti.,"These things, o monks, are conducive for the non-decline of a monk who is a trainee."
35994,nahāru,nahāru,SN 12.22,unknown,"taco ca <b>nahāru</b> ca aṭṭhi ca avasissatu, sarīre upasussatu maṃsalohitaṃ","Let [my] skin, sinew, and bone remain, let [my] flesh and blood dry up in [my] body."
36907,niggayhavādī,niggayhavādiṃ,DHP 76 (simpl),unknown,"nidhīnaṃ va pavattāraṃ, vajjadassinaṃ  <b>niggayhavādiṃ</b> medhāviṃ paṇḍitaṃ bhajāhi","Associate with an intelligent person, a wise man, one who reproves, who sees fault, he is (like) one who points out the treasure."
36976,nicca 1,niccaṃ,MN 147,unknown,"taṃ kiṃ maññasi, rāhula, cakkhu <b>niccaṃ</b> vā aniccaṃ vā'ti","What do you think, Rāhula, “Is the eye permanent or impermanent?”"
37245,niddisi 1,niddisi,VIN PAT NP 10,unknown,"yaṃ kho, bhante, āyasmā veyyāvaccakaraṃ <b>niddisi</b>, saññatto so mayā, upasaṅkamatu āyasmā kālena, cīvarena taṃ acchādessati","Indeed, venerable sir, the steward whom the venerable one has indicated has been instructed by me; let the venerable one approach him at a suitable time; he will clothe you with a robe."
37299,nidhi 1,nidhīnaṃ,DHP 76 (simpl),unknown,"nidhīnaṃ va pavattāraṃ, vajjadassinaṃ  niggayhavādiṃ medhāviṃ paṇḍitaṃ bhajāhi","Associate with an intelligent person, a wise man, one who reproves, who sees fault, he is (like) one who points out the treasure."
38204,nisīdati,nisīdati,MN 118,unknown,bhikkhu araññagato vā rukkhamūlagato vā suññāgāragato vā <b>nisīdati</b>.,"A monk, gone to the forest or to the foot of a tree or to an empty dwelling, sits down."
39272,pacālakaṃ 1,pacālakaṃ,VIN PAT SK 18 (simpl),unknown,na bāhuṃ <b>pacālakaṃ</b> antaraghare nisīdissāmi,I will not sit in an inhabited area swinging [my] arm[s].
39992,paññavant,paññavanto,AN 7.25 (simpl),unknown,"bhikkhū hirimanto bhavissanti, ottappino bhavissanti, satimanto bhavissanti, <b>paññavanto</b> bhavissanti","Monks should be conscientious, they should be feeling shame, they should be mindful, they should be wise."
40071,paññāya 2,paññāya,DHP 277,unknown,"sabbe dhammā anattā iti, yadā <b>paññāya</b> passati, atha nibbindati dukkhe – esa maggo visuddhiyā","""All things are non-self."" When one sees [this] with wisdom, then one is disenchanted with suffering. This is the path for purification."
41608,paṇḍita 2,paṇḍitaṃ,DHP 76 (simpl),unknown,"nidhīnaṃ va pavattāraṃ, vajjadassinaṃ  niggayhavādiṃ medhāviṃ <b>paṇḍitaṃ</b> bhajāhi","Associate with an intelligent person, a wise man, one who reproves, who sees fault, he is (like) one who points out the treasure."
42477,pabbajita 2,pabbajitā,AN 7.23 (simpl),unknown,therā rattaññū ciraṃ <b>pabbajitā</b> saṅghassa pitaro saṅghassa pariṇāyakā,"Senior monks of long-standing, [who] have been ordained for a long time, are fathers of the community of monks, guides of the community of monks."
43321,paricarati 3,paricara,VIN PAT SA 4 (simpl),unknown,mādisaṃ sīlavantaṃ kalyāṇadhammaṃ brahmacāriṃ <b>paricara</b>,"You must minister to one like me, observing the moral practices, of upright nature, one living the holy life."
43452,pariṇāyaka 2,pariṇāyakā,AN 7.23 (simpl),unknown,therā rattaññū ciraṃ pabbajitā saṅghassa pitaro saṅghassa <b>pariṇāyakā</b>,"Senior monks of long-standing, [who] have been ordained for a long time, are fathers of the community of monks, guides of the community of monks."
43900,parimuccati,parimuccati,MN 2.2,unknown,"bhikkhave, assutavā puthujjano na <b>parimuccati</b> jātiyā","Monks, an unlearned common person is not liberated from birth."
44688,pasāreti 1,pasāreyya,MN 152,unknown,seyyathāpi balavā puriso samiñjitaṃ vā bāhaṃ <b>pasāreyya</b>,Just like a strong man would stretch out (his) bent arm or …
44739,passati 2,passati,DHP 277,unknown,"sabbe dhammā anattā iti, yadā paññāya <b>passati</b>, atha nibbindati dukkhe – esa maggo visuddhiyā","""All things are non-self."" When one sees [this] with wisdom, then one is disenchanted with suffering. This is the path for purification."
44810,pavaḍḍhati 1,pavaḍḍhati,SN 1.47 (simpl),unknown,"ye dadanti upassayaṃ, tesaṃ divā ca ratto ca, sadā puññaṃ <b>pavaḍḍhati</b>","Whoever gives a dwelling, merit increases for them all the time, day and night."
44846,pavattar 1,,,,,
45358,pāṇabhūta 1,pāṇabhūtā,SNP 9,unknown,"ye keci <b>pāṇabhūtā</b> atthi, tasā vā thāvarā vā anavasesā","Whatever living beings there are, whether moving or not moving without exception."
46096,pitar,pitaro,AN 7.23 (simpl),unknown,therā rattaññū ciraṃ pabbajitā saṅghassa <b>pitaro</b> saṅghassa pariṇāyakā,"Senior monks of long-standing, [who] have been ordained for a long time, are fathers of the community of monks, guides of the community of monks."
46098,pitari 1,pitaro,AN 7.23 (simpl),unknown,therā rattaññū ciraṃ pabbajitā saṅghassa <b>pitaro</b> saṅghassa pariṇāyakā,"Senior monks of long-standing, [who] have been ordained for a long time, are fathers of the community of monks, guides of the community of monks."
46170,piya 1,piyo,AN 5.81,unknown,thero bhikkhu sabrahmacārīnaṃ <b>piyo</b> ca hoti manāpo ca garu ca bhāvanīyo ca.,"An elder monk is dear to [his] fellow monks and pleasant, respected, and worthy of esteem [by them]."
46519,puñña 1,puññaṃ,SN 1.47 (simpl),unknown,"ye dadanti upassayaṃ, tesaṃ divā ca ratto ca, sadā <b>puññaṃ</b> pavaḍḍhati","Whoever gives a dwelling, merit increases for them all the time, day and night."
46631,puttadāra 1,puttassa ca dārassa,SNP 16,unknown,"mātāpitu upaṭṭhānaṃ, <b>puttassa ca dārassa</b> saṅgaho","The looking after mother and father, the support of the wife and son."
46920,pubbe 1,pubbe,VIN PAT NP 8 simpl,unknown,"ce so bhikkhu, <b>pubbe</b> appavārito, upasaṅkamissati cīvare vikappaṃ āpajjissati","If that monk, previously uninvited, approaches [there], causes an alteration in a robe…"
47031,purisa 1,puriso,MN 152,unknown,seyyathāpi balavā <b>puriso</b> samiñjitaṃ vā bāhaṃ pasāreyya,Just like a strong man would stretch out (his) bent arm or …
47094,purisaviggaha,purisaviggahena,VIN PAT PC 7,unknown,"bhikkhu mātugāmassa uttarichappañcavācāhi dhammaṃ deseti, aññatra viññunā <b>purisaviggahena</b>, pācittiyaṃ.","[If any] monk expounds Dhamma to a woman by means of more than five or six sentences, except [together] with a knowledgeable male, [it is] an offence requiring confession."
47176,pūjeti 1,pūjessanti,AN 7.23 (simpl),unknown,bhikkhū there sakkarissanti garuṃ karissanti mānessanti <b>pūjessanti</b>,"Monks will honor, respect, revere, [and] venerate the elders."
48017,balavant 1,balavanto,AN 2.40,unknown,"yasmiṃ, bhikkhave, samaye corā <b>balavanto</b> honti..","At whichever time, monks, thieves are powerful..."
48045,balibadda,balibaddā,DN 16.26 (simpl),unknown,"dve kassakā bhātaro hatā, cattāro ca <b>balibaddā</b>","Two farmers, [who are] brothers, and four oxen were killed."
48317,bāhā 1,bāhaṃ,MN 152,unknown,seyyathāpi balavā puriso samiñjitaṃ vā <b>bāhaṃ</b> pasāreyya,Just like a strong man would stretch out (his) bent arm or …
48380,bāhu,bāhaṃ,MN 152,unknown,seyyathāpi balavā puriso samiñjitaṃ vā <b>bāhaṃ</b> pasāreyya,Just like a strong man would stretch out (his) bent arm or …
48388,bāhuppacālakaṃ,bāhuṃ pacālakaṃ,VIN PAT SK 18 (simpl),unknown,na <b>bāhuṃ pacālakaṃ</b> antaraghare nisīdissāmi,I will not sit in an inhabited area swinging [my] arm[s].
48943,brahmacārī 2,brahmacāriṃ,VIN PAT SA 4 (simpl),unknown,mādisaṃ sīlavantaṃ kalyāṇadhammaṃ <b>brahmacāriṃ</b> paricara,"You must minister to one like me, observing the moral practices, of upright nature, one living the holy life."
49092,brūmi,brūmi,SN 21.10 (simpl),unknown,"sabbābhibhuṃ sabbaviduṃ sumedhaṃ, tam naraṃ ekavihārī iti ahaṃ <b>brūmi</b>","[One who is] all-conquering, all-knowing, wise, that man I call thus, “one who dwells alone.”"
49139,bhagavant 1,bhagavantaṃ,SN 1.1,unknown,sā devatā <b>bhagavantaṃ</b> etad’avoca,The deity said this to the Blessed One.
49178,bhajati 1.1,bhajāhi,DHP 76 (simpl),unknown,"nidhīnaṃ va pavattāraṃ, vajjadassinaṃ  niggayhavādiṃ medhāviṃ paṇḍitaṃ <b>bhajāhi</b>","Associate with an intelligent person, a wise man, one who reproves, who sees fault, he is (like) one who points out the treasure."
49337,bhadante,,,,,
49695,bhātar,bhātaro,DN 16.26 (simpl),mahāparinibbānasuttaṃ,"dve kassakā <b>bhātaro</b> hatā, cattāro ca balibaddā","Two farmers, [who are] brothers, and four oxen were killed."
49818,bhāvanīya 1,bhāvanīyo,AN 5.81,unknown,thero bhikkhu sabrahmacārīnaṃ piyo ca hoti manāpo ca garu ca <b>bhāvanīyo</b> ca.,"An elder monk is dear to [his] fellow monks and pleasant, respected, and worthy of esteem [by them]."
49868,bhikkhave,bhikkhave,AN 8.79,unknown,ime <b>bhikkhave</b> dhammā sekhassa bhikkhuno aparihānāya saṃvattanti.,"These things, o monks, are conducive for the non-decline of a monk who is a trainee."
49870,bhikkhavo 2,bhikkhavo,DN 2.9,unknown,"bhagavā bhikkhū āmantesi, <b>bhikkhavo</b>’ti.","The Blessed One addressed the monks, “O monks!”"
49885,bhikkhu,bhikkhū,DN 2.9,unknown,"bhagavā <b>bhikkhū</b> āmantesi, bhikkhavo’ti.","The Blessed One addressed the monks, “O monks!”"
49917,bhikkhuno 1,,,,,
50150,bhūta 03,bhūtā,SNP 9,unknown,"ye keci pāṇ<b>abhūtā</b> atthi, tasā vā thāvarā vā anavasesā","Whatever living beings there are, whether moving or not moving without exception."
50382,bhojana 2,,,,,
50621,maccu,maccunā,MN 131 (simpl),unknown,tena mahāsenena <b>maccunā</b> saṅgaro na hoti,"There is no bargaining with that death, with (his) great army."
50807,maññati 1,,,,,
50951,mattaññū,mattaññū,MN 107,gaṇakamoggallānasuttaṃ,ehi tvaṃ bhikkhu bhojane <b>mattaññū</b> hohi,"Come, monk, be moderate with regard to food!"
51140,manāpa 1,manāpo,AN 5.81,unknown,thero bhikkhu sabrahmacārīnaṃ piyo ca hoti <b>manāpo</b> ca garu ca bhāvanīyo ca.,"An elder monk is dear to [his] fellow monks and pleasant, respected, and worthy of esteem [by them]."
51989,mahāsena,mahāsenena,MN 131 (simpl),unknown,tena <b>mahāsenena</b> maccunā saṅgaro na hoti,"There is no bargaining with that death, with (his) great army."
52116,maṃsalohitaṃ,maṃsalohitaṃ,SN 12.22,unknown,"taco ca nahāru ca aṭṭhi ca avasissatu, sarīre upasussatu <b>maṃsalohitaṃ</b>","Let [my] skin, sinew, and bone remain, let [my] flesh and blood dry up in [my] body."
52122,mā avacuttha,avacuttha,VIN 1.2.12,unknown,“mā maṃ āyasmanto kiñci <b>avacuttha</b> kalyāṇaṃ vā pāpakaṃ vā”,"Venerables, don’t say anything to me, good or bad!"
52177,mātari,mātari,SN 7.15 (simpl),unknown,"mātari pitari ca, atho jeṭṭhamhi bhātari. ācariye ca, tesu na mānaṃ karohi.","Towards mother and father, and after that, towards the eldest brother; and towards the teacher. Do not show conceit towards them."
52179,mātāpitar,mātāpitu,SNP 16,unknown,"mātāpitu upaṭṭhānaṃ, puttassa ca dārassa saṅgaho","The looking after mother and father, the support of the wife and son."
52216,mātugāma,mātugāmassa,VIN PAT PC 7,unknown,"bhikkhu <b>mātugāmassa</b> uttarichappañcavācāhi dhammaṃ deseti, aññatra viññunā purisaviggahena, pācittiyaṃ.","[If any] monk expounds Dhamma to a woman by means of more than five or six sentences, except [together] with a knowledgeable male, [it is] an offence requiring confession."
52254,mādisa,mādisaṃ,VIN PAT SA 4 (simpl),unknown,<b>Mādisaṃ</b> sīlavantaṃ kalyāṇadhammaṃ brahmacāriṃ paricara,"You must minister to one like me, observing the moral practices, of upright nature, one living the holy life."
52256,māna 1.1,mānaṃ,SN 7.15 (simpl),unknown,"mātari pitari ca, atho jeṭṭhamhi bhātari. ācariye ca, tesu na <b>mānaṃ</b> karohi.","Towards mother and father, and after that, towards the eldest brother; and towards the teacher. Do not show conceit towards them."
