id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation
23381,khattiya 2,khattiyā,VIN 2.5.1.2,unknown,“santi idha ekacce <b>khattiyā</b> ca brāhmaṇā”ti bhaṇati,"He says, “There are here some noblemen [and] brahmins.”"
23437,khandha 1,,,,,
24615,gaha 2,gahassa,DHP 153 (simpl),unknown,"<b>gahassa</b> kāraka, diṭṭho asi","Builder of a house, you are seen."
24621,gahakāraka,gahassa kāraka,DHP 153 (simpl),unknown,"<b>gahassa kāraka</b>, diṭṭho asi","Builder of a house, you are seen."
27224,cora,coro,MN 86,aṅgulimālasuttaṃ,"<b>coro</b> ahaṃ pure āsiṃ, aṅgulimālo vissuto … buddhaṃ saraṇaṃ āgamiṃ.","I was formerly a thief, the famous Angulimāla… I came to the Buddha (for) refuge."
29318,taṇḍula 1,taṇḍulā,DN 22.5,unknown,ime sālī ime vīhī ime muggā ime māsā ime tilā ime <b>taṇḍulā</b>’ti,"“These are fine rices, these are paddy, these are mung beans, these are speckled beans, these are sesame, these are dehusked rice.”"
29605,tatra 1,tatra,MN 39 (simpl),unknown,<b>Tatra</b> evaṃ aṭṭhāsiṃ evaṃ nisīdiṃ evaṃ abhāsiṃ evaṃ tuṇhī ahosiṃ,"There I stood, I sat, I spoke and I remained silent."
30807,tila,tilā,DN 22.5,unknown,ime sālī ime vīhī ime muggā ime māsā ime <b>tilā</b> ime taṇḍulā’ti,"“These are fine rices, these are paddy, these are mung beans, these are speckled beans, these are sesame, these are dehusked rice.”"
30985,tuṇhī ahosi,tuṇhī ahosiṃ,MN 39 (simpl),unknown,tatra evaṃ aṭṭhāsiṃ evaṃ nisīdiṃ evaṃ abhāsiṃ evaṃ <b>tuṇhī ahosiṃ</b>,"There I stood, I sat, I spoke and I remained silent."
30989,tuṇhī 3,tuṇhī,MN 39 (simpl),unknown,tatra evaṃ aṭṭhāsiṃ evaṃ nisīdiṃ evaṃ abhāsiṃ evaṃ <b>tuṇhī</b> ahosiṃ,"There I stood, I sat, I spoke and I remained silent."
32428,diṭṭha 1.1,diṭṭho,DHP 153 (simpl),unknown,"gahassa kāraka, <b>diṭṭho</b> asi","Builder of a house, you are seen."
34211,dosa 1.1,,,,,
34513,dhaja 1,dhajaṃ,AN 4.48 (simpl),unknown,paggaṇhahi isīnaṃ <b>dhajaṃ</b>,Raise up a banner of the sages!
37679,nibbindati 1,nibbindati,DHP 183,unknown,<b>nibbindati</b> dukkhe esa maggo visuddhiyā,"One is disenchanted in suffering, this [is] the path for purification."
38218,nisīdi,nisīdi,SN 21.9 (simpl),unknown,"atha kho āyasmā tisso upasaṅkami,  ekamantaṃ <b>nisīdi</b>.",And then Venerable Tissa approached and sat down to one side.
39192,paggaṇhāti 2,paggaṇhahi,AN 4.48 (simpl),unknown,<b>paggaṇhahi</b> isīnaṃ dhajaṃ,Raise up a banner of the sages!
39413,paccassosi,paccassosuṃ,SN 22.59,unknown,bhikkhū bhagavato <b>paccassosuṃ</b>,The monks replied to the Blessed One.
40441,paṭijānāti 4,paṭijānātha,MN 39,unknown,samaṇā amhā’ti <b>paṭijānātha</b>,"You all claim, “We are ascetics.”"
40522,paṭipajjati 2,paṭipajjāhi,MN 107 (simpl),unknown,"kāyassa saṃvarāya <b>paṭipajjāhi</b>, rakkhāhi kāyaṃ, kāye saṃvaraṃ āpajjāhi.","Practice for restraint of the body (faculty), guard the body (faculty), arouse restraint in regard to the body (faculty)."
42332,panūdati,panūda,SN 2.8 (simpl),unknown,"chinda sotaṃ parakkama, kāme <b>panūda</b> brāhmaṇa","Cross the stream, strive, dispel sensual pleasures, O holy man!"
43744,paribbājaka,paribbājakehi,SN 46.53 (simpl),unknown,bhikkhū <b>paribbājakehi</b> sammodiṃsu,The monks exchanged pleasantries with the wandering ascetics.
47111,pure 2,pure,MN 86,aṅgulimālasuttaṃ,"coro ahaṃ <b>pure</b> āsiṃ, aṅgulimālo vissuto … buddhaṃ saraṇaṃ āgamiṃ.","I was formerly a thief, the famous Angulimāla… I came to the Buddha (for) refuge."
47378,pessaka 1,pessako,MN 98,unknown,"kassako kammunā hoti, sippiko hoti kammunā, vāṇijo kammunā hoti, <b>pessako</b> hoti kammunā.","By one’s actions, one is a farmer, a craftsman, a trader, a messenger"
47973,bala 1,balaṃ,MN 39 (simpl),unknown,me āsi kāye <b>balaṃ</b>,Power was in my body.
48801,byākāsi 1,byākāsi,MN 95 (simpl),unknown,"saccaṃ bhavantaṃ gotamaṃ apucchimha, saccaṃ bhavaṃ gotamo <b>byākāsi</b>","We asked master Gotama (about) the truth, master Gotama explained the truth."
48810,byādhi,byādhi,AN 5.57,unknown,<b>byādhi</b> dhammo amhi,I am of the nature to get sick. (lit. I am of the sickness nature)
49137,bhagavato 2,bhagavato,SN 35.121,unknown,āyasmā rāhulo <b>bhagavato</b> bhāsitaṃ abhinandi,Venerable Rahula delighted in the speech of the Blessed One.
49227,bhaṇati 1,bhaṇati,VIN 2.5.1.2,unknown,“santi idha ekacce khattiyā ca brāhmaṇā”ti <b>bhaṇati</b>,"He says, “There are here some noblemen [and] brahmins.”"
49605,bhavaṃ 1,bhavaṃ,MN 95 (simpl),unknown,"saccaṃ <b>bhavaṃ</b> gotamaṃ apucchimha, saccaṃ bhavaṃ gotamo byākāsi","We asked master Gotama (about) the truth, master Gotama explained the truth."
49767,bhāsita 1,bhāsitaṃ,SN 35.121,unknown,āyasmā rāhulo bhagavato <b>bhāsitaṃ</b> abhinandi,Venerable Rahula delighted in the speech of the Blessed One.
49796,bhāvanā 1,,,,,
50496,magga 2,maggo,DHP 183,unknown,nibbindati dukkhe esa <b>maggo</b> visuddhiyā,"One is disenchanted in suffering, this [is] the path for purification."
51427,mayaṃ 1,,,,,
52492,māsa 2.1,māsā,DN 22.5,unknown,ime sālī ime vīhī ime muggā ime <b>māsā</b> ime tilā ime taṇḍulā’ti,"“These are fine rices, these are paddy, these are mung beans, these are speckled beans, these are sesame, these are dehusked rice.”"
52807,mugga,muggā,DN 22.5,unknown,ime sālī ime vīhī ime <b>muggā</b> ime māsā ime tilā ime taṇḍulā’ti,"“These are fine rices, these are paddy, these are mung beans, these are speckled beans, these are sesame, these are dehusked rice.”"
53022,muni 1,muni,TH 257 (simpl),unknown,evaṃ gāme <b>muni</b> cari,The sage walked in the village like this.
54351,rakkhati 1,rakkhāhi,MN 107 (simpl),unknown,"kāyassa saṃvarāya paṭipajjāhi, <b>rakkhāhi</b> kāyaṃ, kāye saṃvaraṃ āpajjāhi.","Practice for restraint of the body (faculty), guard the body (faculty), arouse restraint in regard to the body (faculty)."
54789,rāga 1.1,rāgassa,SN 35.28,unknown,rāgassa agginā dosassa agginā mohassa agginā saddo ādippati,"The sound is burning with the fire of lust, with the fire of hatred, with the fire of delusion."
55021,rāhula,rāhulo,SN 35.121,unknown,āyasmā <b>rāhulo</b> bhagavato bhāsitaṃ abhinandi,Venerable Rahula delighted in the speech of the Blessed One.
55973,loka 2,lokaṃ,AN 3.66 (simpl),unknown,sugatiṃ saggaṃ <b>lokaṃ</b> upapajjāmi,"I go towards a good destination, a heavenly plane of existence."
56270,saka 1,sakamhā,MN 39 (simpl),unknown,ahaṃ <b>sakamhā</b> gāmā amuṃ gāmaṃ agacchiṃ,I went from my own village to such and such a village.
56554,sagga 1.1,saggaṃ,AN 3.66 (simpl),unknown,sugatiṃ <b>saggaṃ</b> lokaṃ upapajjāmi,"I go towards a good destination, a heavenly plane of existence."
57122,sacca 2,,,,,
57616,sati 1.2,,,,,
58259,santi 2.1,santi,VIN 2.5.1.2,unknown,“<b>santi</b> idha ekacce khattiyā ca brāhmaṇā”ti bhaṇati,"He says, “There are here some noblemen [and] brahmins.”"
59623,samādhi 1,,,,,
59985,samudaya 1,,,,,
60931,sammodi,sammodiṃsu,SN 46.53 (simpl),unknown,bhikkhū paribbājakehi <b>sammodiṃsu</b>,The monks exchanged pleasantries with the wandering ascetics.
61887,saṃvara 2,saṃvarāya,MN 107 (simpl),unknown,"kāyassa <b>saṃvarāya</b> paṭipajjāhi, rakkhāhi kāyaṃ, kāye saṃvaraṃ āpajjāhi.","Practice for restraint of the body (faculty), guard the body (faculty), arouse restraint in regard to the body (faculty)."
61899,saṃvaraṃ āpajjati,saṃvaraṃ āpajjāhi,MN 107 (simpl),unknown,"kāyassa saṃvarāya paṭipajjāhi, rakkhāhi kāyaṃ, kāye <b>saṃvaraṃ āpajjāhi</b>.","Practice for restraint of the body (faculty), guard the body (faculty), arouse restraint in regard to the body (faculty)."
62578,sāli,sālī,DN 22.5,unknown,ime <b>sālī</b> ime vīhī ime muggā ime māsā ime tilā ime taṇḍulā’ti,"“These are fine rices, these are paddy, these are mung beans, these are speckled beans, these are sesame, these are dehusked rice.”"
62947,sippika 1.1,sippiko,MN 98,unknown,"kassako kammunā hoti, <b>sippiko</b> hoti kammunā, vāṇijo kammunā hoti, pessako hoti kammunā.","By one’s actions, one is a farmer, a craftsman, a trader, a messenger"
63563,sukhita,sukhitā,AN 3.156,unknown,arogā <b>sukhitā</b> hotha,May you all be happy (and) free from disease.
63624,sugati,sugatiṃ,AN 3.66 (simpl),unknown,<b>sugatiṃ</b> saggaṃ lokaṃ upapajjāmi,"I go towards a good destination, a heavenly plane of existence."
65197,sota 1.1,sotaṃ,SN 2.8 (simpl),unknown,"chinda <b>sotaṃ</b> parakkama, kāme panūda brāhmaṇa","Cross the stream, strive, dispel sensual pleasures, O holy man!"
66729,vāṇija,vāṇijo,MN 98,unknown,"kassako kammunā hoti, sippiko hoti kammunā, <b>vāṇijo</b> kammunā hoti, pessako hoti kammunā.","By one’s actions, one is a farmer, a craftsman, a trader, a messenger"
69305,visuddhi 1.1,visuddhiyā,DHP 183,unknown,nibbindati dukkhe esa maggo <b>visuddhiyā</b>,"One is disenchanted in suffering, this [is] the path for purification."
69478,vissuta,vissuto,MN 86,unknown,"coro ahaṃ pure āsiṃ, aṅgulimālo <b>vissuto</b> … buddhaṃ saraṇaṃ āgamiṃ.","I was formerly a thief, the famous Angulimāla… I came to the Buddha (for) refuge."
69963,vīhi,vīhī,DN 22.5,unknown,ime sālī ime <b>vīhī</b> ime muggā ime māsā ime tilā ime taṇḍulā’ti,"“These are fine rices, these are paddy, these are mung beans, these are speckled beans, these are sesame, these are dehusked rice.”"
71483,hoti 1,hontu,SN 22.59 (simpl),unknown,evaṃ me saṅkhārā <b>hontu</b>,Let my volitional formations be thus.
71494,hotha,hotha,AN 3.156,unknown,arogā sukhitā <b>hotha</b>,May you all be happy (and) free from disease.
71496,hontu,hontu,SN 22.59 (simpl),unknown,evaṃ me saṅkhārā <b>hontu</b>,Let my volitional formations be thus.
71499,homa 2.2,homa,DN 16.39,unknown,upaddutā <b>homa</b> — ‘idaṃ kappati…,We are afflicted – “this is suitable…”
77100,chindati 5,chinda,SN 2.8 (simpl),unknown,"<b>chinda</b> sotaṃ parakkama, kāme panūda brāhmaṇa","Cross the stream, strive, dispel sensual pleasures, O holy man!"
