id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation
7655,abhijjhā,abhijjhaṃ,MN 107 (simpl),unknown,abhijjhaṃ loke pajaheyyuṃ vigat’ābhijjhena cetasā vihareyyuṃ; <b>abhijjhāya</b> cittaṃ parisodheyyuṃ,"They would abandon covetousness with reference to the world, they would dwell with a mind free from covetousness, they would purify the mind from covetousness."
7740,abhitthavati,abhitthaveyyāmi,SN 8.11 (simpl),unknown,yaṃnūn'āhaṃ bhagavantaṃ sammukhā sāruppāya gāthāya <b>abhitthaveyyāmi</b>,Maybe I should praise the Blessed One face-to-face with an appropriate verse.
9915,assa 3.1,assu,DN 10,unknown,te tāvataken’eva attamanā <b>assu</b>,With just this much they would be pleased.
9946,assatha,assatha,DN 1.1,unknown,"ce tumhe <b>assatha</b> kupitā vā anattamanā vā, tumhaṃ tena antarāyo.","If you were to be angry or irritated, on that account [it would be] an obstacle for you all."
10026,assavanatā,assavanatā,MN 26,unknown,"desetu, bhante, bhagavā dhammaṃ, desetu sugato dhammaṃ. santi sattā apparajakkhajātikā, <b>assavanatā</b> dhammassa parihāyanti.","Venerable Sir, let the Blessed One teach the doctrine, let the well-gone One teach the doctrine; there are living beings who have little dirt in their eyes, [who] are wasting away by the fact of not hearing the teaching."
10031,assaṃ,assu,DN 10,unknown,te tāvataken’eva attamanā <b>assu</b>,With just this much they would be pleased.
10058,assāma,assāma,MN 10.16,unknown,aho vata mayaṃ na maraṇadhammā <b>assāma</b>,If only we could be not of the nature to die!
10098,assu 3.1,assu,DN 10,unknown,te tāvataken’eva attamanā <b>assu</b>,With just this much they would be pleased.
10123,assosuṃ,assosuṃ,DN 16.14,unknown,"<b>assosuṃ</b> mallā, bhagavā kusinārāyaṃ parinibbuto’ti","The Mallans heard, “The Blessed One had final Nibbāna in Kusinara”"
10181,avaṅkata,avaṅkatā,SN 12.22 (simpl),unknown,evaṃ no ayaṃ amhākaṃ pabbajjā <b>avaṅkatā</b> avañjhā bhaveyya,"In this way, indeed, our renunciation would not be sterile, would not be dishonest."
10228,avañjha,avañjhā,SN 12.22 (simpl),unknown,evaṃ no ayaṃ amhākaṃ pabbajjā avaṅkatā <b>avañjhā</b> bhaveyya,"In this way, indeed, our renunciation would not be sterile, would not be dishonest."
10948,aho vata,aho vata,MN 10.16,unknown,<b>aho vata</b> mayaṃ na maraṇadhammā assāma,If only we could be not of the nature to die!
11152,āgaccheyya,āgaccheyyuṃ,AN 7.23,unknown,"bhikkhave, bhikkhū paccattaṃ satiṃ upaṭṭhāpessanti: “kin’ti anāgatā ca pesalā sabrahmacārī <b>āgaccheyyuṃ</b>, āgatā ca pesalā sabrahmacārī phāsuṃ vihareyyuṃ?” iti","Bhikkhus, the monks will establish mindfulness individually [with the intention]: “How then well-behaved fellow monks [who] have not come could come and (how) well-behaved monks [who] have come could dwell at ease?”"
11156,āgata 3,āgatā,AN 7.23,unknown,"bhikkhave, bhikkhū paccattaṃ satiṃ upaṭṭhāpessanti: “kin’ti anāgatā ca pesalā sabrahmacārī āgaccheyyuṃ, <b>āgatā</b> ca pesalā sabrahmacārī phāsuṃ vihareyyuṃ?” iti","Bhikkhus, the monks will establish mindfulness individually [with the intention]: “How then well-behaved fellow monks [who] have not come could come and (how) well-behaved monks [who] have come could dwell at ease?”"
11910,āpas,,,,,
12803,āsaya 2,āsayaṃ,MN 25 (simpl),unknown,"mayaṃ migajātānaṃ <b>āsayaṃ</b> passeyyāma, yattha te gāhaṃ gaccheyyun'ti.","“We could see the dwelling of a species of deer, where they would go [for] a hiding place.”"
13687,idha 2,idha,SN 22.3,unknown,"<b>idha</b>, gahapati, ekaccassa evaṃ hoti, evaṃrūpo siyaṃ anāgatam'addhānaṃ, evaṃvedano siyaṃ anāgatam'addhānaṃ","In this regard, householder, some think [lit: there is thus for some], may I be of such form in the future, may I be having such feeling in the future."
14956,udapāna,udapānena,UD 69,unknown,"kiṃ kareyya <b>udapānena</b>, āpā ce sabbadā siyuṃ,","What one could do with the well, if always there could be water?; Having cut off the craving from the source, why would he go about searching?"
15560,upaṭṭhāpeti 2,,,,,
16092,upasaṅkamitar 1,upasaṅkamitāro,AN 8.30 (simpl),unknown,"In this regard, for a monk dwelling secluded, visitors would (come) - monks, male lay disciples, [and] female lay disciples.","In this regard, for a monk dwelling secluded, visitors would (come) - monks, male lay disciples, [and] female lay disciples."
16367,upādiyamāna,upādiyamāno,SN 22.80,unknown,n’atthi taṃ kiñci lokasmiṃ yaṃ ahaṃ <b>upādiyamāno</b> na vajjavā assaṃ.,There is not anything in the world which I am grasping [and] would not be with faults [i.e. and would not be blameworthy].
16430,upāsikā,upāsikāyo,AN 8.30 (simpl),unknown,"In this regard, for a monk dwelling secluded, visitors would (come) - monks, male lay disciples, [and] female <b>lay disciples</b>.","In this regard, for a monk dwelling secluded, visitors would (come) - monks, male lay disciples, [and] female lay disciples."
17072,ulloketi,ullokeyyāsi,AN 7.61,unknown,tvaṃ moggallāna disā anuvilokeyyāsi nakkhattāni <b>ullokeyyāsi</b>,"Moggallāna, you should look all around in all directions, and look up at the constellations."
17431,ekacca 1,ekaccassa,SN 22.3,unknown,"idha, gahapati, <b>ekaccassa</b> evaṃ hoti, evaṃrūpo siyaṃ anāgatam'addhānaṃ, evaṃvedano siyaṃ anāgatam'addhānaṃ","In this regard, householder, some think [lit: there is thus for some], may I be of such form in the future, may I be having such feeling in the future."
18077,evamassa 1,,,,,
18180,evaṃrūpa,evaṃrūpo,SN 22.3,unknown,"idha, gahapati, ekaccassa evaṃ hoti, <b>evaṃrūpo</b> siyaṃ anāgatam'addhānaṃ, evaṃvedano siyaṃ anāgatam'addhānaṃ","In this regard, householder, some think [lit: there is thus for some], may I be of such form in the future, may I be having such feeling in the future."
18208,evaṃvedana,evaṃvedano,SN 22.3,unknown,"idha, gahapati, ekaccassa evaṃ hoti, evaṃrūpo siyaṃ anāgatam'addhānaṃ, <b>evaṃvedano</b> siyaṃ anāgatam'addhānaṃ","In this regard, householder, some think [lit: there is thus for some], may I be of such form in the future, may I be having such feeling in the future."
18775,obhāsati 1.1,obhāseyya,VIN PAT SA 3 (simpl),unknown,yo pana bhikkhu mātugāmaṃ duṭṭhullāhi vācāhi <b>obhāseyya</b>,If any monk should speak to a woman coarsely by means of obscene words…
18876,orenaddhamāsaṃ,oren’addhamāsaṃ,VIN PAT PC 57,unknown,"yo pana bhikkhu <b>oren’addhamāsaṃ</b> nahāyeyya, pācittiyan’ti","whichever monk should bathe within half a month, that is a pācittiya (a case requiring confession)."
20551,kareyya 2,kareyya,UD 69,unknown,"kiṃ <b>kareyya</b> udapānena, āpā ce sabbadā siyuṃ,","What one could do with the well, if always there could be water?; Having cut off the craving from the source, why would he go about searching?"
21727,kinti,kin’ti,MN 14,unknown,kin’ti me bhoge na corā hareyyuṃ,How then could thieves not steal my valuables?
21930,kissa 1,kissa,UD 69,unknown,"kiṃ kareyya udapānena, āpā ce sabbadā siyuṃ, taṇhāya mūlato chetvā, <b>kissa</b> pariyesanaṃ care?","What one could do with the well, if always there could be water?; Having cut off the craving from the source, why would he go about searching?"
21957,kiṃ 2,kin’ti,AN 7.23,unknown,"bhikkhave, bhikkhū paccattaṃ satiṃ upaṭṭhāpessanti: “<b>kin’ti</b> anāgatā ca pesalā sabrahmacārī āgaccheyyuṃ, āgatā ca pesalā sabrahmacārī phāsuṃ vihareyyuṃ?” iti","Bhikkhus, the monks will establish mindfulness individually [with the intention]: “How then well-behaved fellow monks [who] have not come could come and (how) well-behaved monks [who] have come could dwell at ease?”"
22353,kupita,kupitā,DN 1.1,unknown,"ce tumhe assatha <b>kupitā</b> vā anattamanā vā, tumhaṃ tena antarāyo.","If you were to be angry or irritated, on that account [it would be] an obstacle for you all."
22687,kusinārā,kusinārāyaṃ,DN 16.14,mahāparinibbānasuttaṃ,"assosuṃ mallā, bhagavā <b>kusinārāyaṃ</b> parinibbuto’ti","The Mallans heard, “The Blessed One had final Nibbāna in Kusinara”"
22785,kūṭāgāra 1,kūṭāgāra-sālāyaṃ,AN 8.53,unknown,ekaṃ samayaṃ bhagavā vesāliyaṃ viharati mahāvane <b>kūṭāgāra-sālāyaṃ</b>,"At one time the Blessed One was living in Vesali, in the great wood, in the hall of the building with the peaked roof."
22792,kūṭāgārasālā 2,kūṭāgāra-sālāyaṃ,AN 8.53,unknown,ekaṃ samayaṃ bhagavā vesāliyaṃ viharati mahāvane <b>kūṭāgāra-sālāyaṃ</b>,"At one time the Blessed One was living in Vesali, in the great wood, in the hall of the building with the peaked roof."
22949,kocideva,koci'd'eva,VIN PAT PC 49,unknown,siyā ca tassa bhikkhuno <b>koci'd'eva</b> paccayo senaṃ gamanāya,And if there might be some or other reason for that monk for going to see an army…
23967,kho pana,,,,,
24431,gamanāya,gamanāya,VIN PAT PC 49,unknown,siyā ca tassa bhikkhuno koci'd'eva paccayo senaṃ <b>gamanāya</b>,And if there might be some or other reason for that monk for going to see an army…
24711,gahetvā 5,gahetvā,VIN PA.2,unknown,rājāno coraṃ <b>gahetvā</b> haneyyuṃ vā bandheyyuṃ vā pabbājeyyuṃ vā,"The king’s men, having captured a thief, could kill (him) or imprison him or banish him."
24726,gāthā 1,gāthāya,SN 8.11 (simpl),unknown,yaṃnūn'āhaṃ bhagavantaṃ sammukhā sāruppāya <b>gāthāya</b> abhitthaveyyāmi,Maybe I should praise the Blessed One face-to-face with an appropriate verse.
24853,gāha 2.2,gāhaṃ,MN 25 (simpl),unknown,"mayaṃ migajātānaṃ āsayaṃ passeyyāma, yattha te <b>gāhaṃ</b> gaccheyyun'ti.","“We could see the dwelling of a species of deer, where they would go [for] a hiding place.”"
26759,cira,,,,,
27056,cetasā,cetasā,MN 107 (simpl),unknown,abhijjhaṃ loke pajaheyyuṃ vigat’ābhijjhena <b>cetasā</b> vihareyyuṃ; abhijjhāya cittaṃ parisodheyyuṃ,"They would abandon covetousness with reference to the world, they would dwell with a mind free from covetousness, they would purify the mind from covetousness."
27315,chaḍḍita,chaḍḍitaṃ,DN 22.7,unknown,bhikkhu seyyathāpi passeyya sarīraṃ sivathikāya <b>chaḍḍitaṃ</b>,Imagine if a monk could see a dead body discarded in a charnel ground.
27732,chetvā 1,chetvā,UD 69,unknown,"kiṃ kareyya udapānena, āpā ce sabbadā siyuṃ, taṇhāya mūlato <b>chetvā</b>, kissa pariyesanaṃ care?","What one could do with the well, if always there could be water?; Having cut off the craving from the source, why would he go about searching?"
28343,jāneyya,jāneyyāsi,AN 8.53,unknown,ye kho tvaṃ dhamme <b>jāneyyāsi</b>,"Indeed, whatever things you might know…"
28513,jivhā,jivhāya,MN 152,indriyabhāvanāsuttaṃ,<b>jivhāya</b> rasaṃ sāyitvā uppajjati manāpaṃ,"Having tasted a flavour with the tongue, a pleasant experience arises."
29568,tatonidānaṃ,tatonidānaṃ,MN 39,unknown,"so <b>tatonidānaṃ</b> labheyya pāmojjaṃ, adhigaccheyya somanassaṃ","Because of that he would obtain gladness, he would experience pleasure."
30379,tāvatakeneva,tāvataken’eva,DN 10,unknown,te <b>tāvataken’eva</b> attamanā assu,With just this much they would be pleased.
31018,tumhaṃ 1,,,,,
31023,tumhākaṃ 2,tumhākaṃ,DN 16.36 (simpl),unknown,"siyā kho pana ananda, <b>tumhākaṃ</b> evaṃ assa — ""n'atthi no satthā"" iti.","And now, Ananda, it could be thus would occur to you: “there is no teacher for us.”"
31026,tumhe 1,,,,,
31134,te 1.1,te,DN 10,unknown,<b>te</b> tāvataken’eva attamanā assu,With just this much they would be pleased.
31217,tena 2,,,,,
31576,thūla 2,thūlaṃ,MN 104,unknown,"ime ce tumhe cha sāraṇīye dhamme samādāya vatteyyātha, passatha no tumhe taṃ vacanapathaṃ, aṇuṃ vā <b>thūlaṃ</b> vā, yaṃ tumhe n’ādhivāseyyātha?","If you could practice undertaking these six cordial things, do you see any way of saying things (i.e. mode of expression), gross or subtle, which you could not tolerate?"
32650,disā 1,disā,AN 7.61,unknown,tvaṃ moggallāna <b>disā</b> anuvilokeyyāsi nakkhattāni ullokeyyāsi,"Moggallāna, you should look all around in all directions, and look up at the constellations."
33101,duṭṭhulla 2,duṭṭhullāhi,VIN PAT SA 3 (simpl),unknown,yo pana bhikkhu mātugāmaṃ <b>duṭṭhullāhi</b> vācāhi obhāseyya,If any monk should speak to a woman coarsely by means of obscene words…
35372,nakkhatta 1,nakkhattāni,AN 7.61,unknown,tvaṃ moggallāna disā anuvilokeyyāsi <b>nakkhattāni</b> ullokeyyāsi,"Moggallāna, you should look all around in all directions, and look up at the constellations."
35540,natthi 1,,,,,
35710,nappaṭikaṅkhati,nappaṭikaṅkhe,MN 131,unknown,"atītaṃ n’ānvāgameyya, <b>nappaṭikaṅkhe</b> anāgataṃ.","He should not return to the past, he should not anticipate the future."
35986,nahāyati,nahāyeyya,VIN PAT PC 57,unknown,"yo pana bhikkhu oren’addhamāsaṃ <b>nahāyeyya</b>, pācittiyan’ti","whichever monk should bathe within half a month, that is a pācittiya (a case requiring confession)."
36220,nādhivāseti,n’ādhivāseyyātha,MN 104,unknown,"ime ce tumhe cha sāraṇīye dhamme samādāya vatteyyātha, passatha no tumhe taṃ vacanapathaṃ, aṇuṃ vā thūlaṃ vā, yaṃ tumhe <b>n’ādhivāseyyātha</b>?","If you could practice undertaking these six cordial things, do you see any way of saying things (i.e. mode of expression), gross or subtle, which you could not tolerate?"
36361,nānvāgameti,nānvāgameyya,MN 131,unknown,"atītaṃ <b>nānvāgameyya</b>, nappaṭikaṅkhe anāgataṃ.","He should not return to the past, he should not anticipate the future."
38885,no 1.3,,,,,
39376,paccaya 2,,,,,
40353,paṭighāta 1,,,,,
42281,pana,pana,DN 16.36 (simpl),unknown,"siyā kho <b>pana</b> ananda, tumhākaṃ evaṃ assa — ""n'atthi no satthā"" iti.","And now, Ananda, it could be thus would occur to you: “there is no teacher for us.”"
42491,pabbajjā,pabbajjā,SN 12.22 (simpl),unknown,evaṃ no ayaṃ amhākaṃ <b>pabbajjā</b> avaṅkatā avañjhā bhaveyya,"In this way, indeed, our renunciation would not be sterile, would not be dishonest."
42544,pabbājeti 1,pabbājeyyuṃ,VIN PA.2,unknown,rājāno coraṃ gahetvā haneyyuṃ vā bandheyyuṃ vā <b>pabbājeyyuṃ</b> vā,"The king’s men, having captured a thief, could kill (him) or imprison him or banish him."
42964,parama 1,paramāya,DN 16.27,unknown,so tathāgataṃ pūjeti <b>paramāya</b> pūjāya,He honors the Buddha with the highest veneration.
43605,parinibbuta 3,parinibbuto,DN 16.14,unknown,"assosuṃ mallā, bhagavā kusinārāyaṃ <b>parinibbuto</b>’ti","The Mallans heard, “The Blessed One had final Nibbāna in Kusinara”"
44013,pariyesanaṃ,pariyesanaṃ,UD 69,unknown,"kiṃ kareyya udapānena, āpā ce sabbadā siyuṃ, taṇhāya mūlato chetvā, kissa <b>pariyesanaṃ</b> care?","What one could do with the well, if always there could be water?; Having cut off the craving from the source, why would he go about searching?"
44177,parisodheti,parisodheyyuṃ,MN 107 (simpl),unknown,abhijjhaṃ loke pajaheyyuṃ vigat’ābhijjhena cetasā vihareyyuṃ; abhijjhāya cittaṃ <b>parisodheyyuṃ</b>,"They would abandon covetousness with reference to the world, they would dwell with a mind free from covetousness, they would purify the mind from covetousness."
44797,passeyya 1,passeyya,DN 22.7,unknown,bhikkhu seyyathāpi <b>passeyya</b> sarīraṃ sivathikāya chaḍḍitaṃ,Imagine if a monk could see a dead body discarded in a charnel ground.
44980,pavivitta,pavivittassa,AN 8.30 (simpl),unknown,idha bhikkhuno <b>pavivittassa</b> viharato bhaveyyuṃ upasaṅkamitāro bhikkhū upāsakā upāsikāyo,"In this regard, for a monk dwelling secluded, visitors would (come) - monks, male lay disciples, [and] female lay disciples."
45691,pāmojja,pāmojjaṃ,MN 39,unknown,"so tatonidānaṃ labheyya <b>pāmojjaṃ</b>, adhigaccheyya somanassaṃ","Because of that he would obtain gladness, he would experience pleasure."
47334,pesala,pesalā,AN 7.23,unknown,"bhikkhave, bhikkhū paccattaṃ satiṃ upaṭṭhāpessanti: “kin’ti anāgatā ca <b>pesalā</b> sabrahmacārī āgaccheyyuṃ, āgatā ca <b>pesalā</b> sabrahmacārī phāsuṃ vihareyyuṃ?” iti","Bhikkhus, the monks will establish mindfulness individually [with the intention]: “How then well-behaved fellow monks [who] have not come could come and (how) well-behaved monks [who] have come could dwell at ease?”"
47740,phāsuṃ,phāsuṃ,AN 7.23,unknown,"bhikkhave, bhikkhū paccattaṃ satiṃ upaṭṭhāpessanti: “kin’ti anāgatā ca pesalā sabrahmacārī āgaccheyyuṃ, āgatā ca pesalā sabrahmacārī <b>phāsuṃ</b> vihareyyuṃ?” iti","Bhikkhus, the monks will establish mindfulness individually [with the intention]: “How then well-behaved fellow monks [who] have not come could come and (how) well-behaved monks [who] have come could dwell at ease?”"
47898,bandhati 1,bandheyyuṃ,VIN PA.2,unknown,rājāno coraṃ gahetvā haneyyuṃ vā <b>bandheyyuṃ</b> vā pabbājeyyuṃ vā,"The king’s men, having captured a thief, could kill (him) or imprison him or banish him."
49534,bhavati 1,,,,,
50332,bhoga 1.1,bhoge,MN 14,unknown,kin’ti me <b>bhoge</b> na corā hareyyuṃ,How then could thieves not steal my valuables?
51141,manāpa 2,manāpaṃ,MN 152,unknown,jivhāya rasaṃ sāyitvā uppajjati <b>manāpaṃ</b>,"Having tasted a flavour with the tongue, a pleasant experience arises."
51451,maraṇadhamma,maraṇadhammā,MN 10.16,unknown,aho vata mayaṃ na <b>maraṇadhammā</b> assāma,If only we could be not of the nature to die!
52013,mahāvana 1,mahāvane,AN 8.53,unknown,ekaṃ samayaṃ bhagavā vesāliyaṃ viharati <b>mahāvane</b> kūṭāgāra-sālāyaṃ,"At one time the Blessed One was living in Vesali, in the great wood, in the hall of the building with the peaked roof."
52527,migajāta,migajātānaṃ,MN 25 (simpl),unknown,"mayaṃ <b>migajātānaṃ</b> āsayaṃ passeyyāma, yattha te gāhaṃ gaccheyyun'ti.","“We could see the dwelling of a species of deer, where they would go [for] a hiding place.”"
52822,muccati 1.1,,,,,
53090,mūla 2,,,,,
53307,moggallāna 1,moggallāna,AN 7.61,unknown,tvaṃ <b>moggallāna</b> disā anuvilokeyyāsi nakkhattāni ullokeyyāsi,"Moggallāna, you should look all around in all directions, and look up at the constellations."
53542,yattha,yattha,MN 25 (simpl),unknown,"mayaṃ migajātānaṃ āsayaṃ passeyyāma, <b>yattha</b> te gāhaṃ gaccheyyun'ti.","“We could see the dwelling of a species of deer, where they would go [for] a hiding place.”"
53888,yaṃnūnāhaṃ,yaṃnūn'āhaṃ,SN 8.11 (simpl),unknown,<b>yaṃnūn'āhaṃ</b> bhagavantaṃ sammukhā sāruppāya gāthāya abhitthaveyyāmi,Maybe I should praise the Blessed One face-to-face with an appropriate verse.
54046,yāvadeva,yāva’d’eva,MN 2.4,unknown,<b>yāva’d’eva</b> uppannānaṃ veyyābādhikānaṃ vedanānaṃ paṭighātāya abyāpajjhaparamatāya,"Only as much as for the freedom from obsessive pain at the most, for the warding off of oppressive feelings that have arisen."
54208,yo,yo,VIN PAT PC 57,unknown,"<b>yo</b> pana bhikkhu oren’addhamāsaṃ nahāyeyya, pācittiyan’ti","whichever monk should bathe within half a month, that is a pācittiya (a case requiring confession)."
54210,yo pana bhikkhu,yo pana bhikkhu,VIN PAT PC 57,unknown,"<b>yo pana bhikkhu</b> oren’addhamāsaṃ nahāyeyya, pācittiyan’ti","whichever monk should bathe within half a month, that is a pācittiya (a case requiring confession)."
54409,rajakkha,,,,,
54956,rājāno,rājāno,DN 2.19,unknown,rājāno coraṃ gahetvā haneyyuṃ vā bandheyyuṃ vā pabbājeyyuṃ vā,"The king’s men, having captured a thief, could kill (him) or imprison him or banish him."
58858,sabbadā,sabbadā,UD 69,unknown,"kiṃ kareyya udapānena, āpā ce <b>sabbadā</b> siyuṃ,","What one could do with the well, if always there could be water?"
59599,samādāya 2,,,,,
60885,sammukhā,sammukhā,SN 8.11 (simpl),unknown,yaṃnūn'āhaṃ bhagavantaṃ <b>sammukhā</b> sāruppāya gāthāya abhitthaveyyāmi,Maybe I should praise the Blessed One face-to-face with an appropriate verse.
62417,sāyitvā,sāyitvā,MN 152,indriyabhāvanāsuttaṃ,jivhāya rasaṃ <b>sāyitvā</b> uppajjati manāpaṃ,"Having tasted a flavour with the tongue, a pleasant experience arises."
62455,sāraṇīya 1.1,sāraṇīye,MN 104,unknown,"ime ce tumhe cha <b>sāraṇīye</b> dhamme samādāya vatteyyātha, passatha no tumhe taṃ vacanapathaṃ, aṇuṃ vā thūlaṃ vā, yaṃ tumhe n’ādhivāseyyātha?","If you could practice undertaking these six cordial things, do you see any way of saying things (i.e. mode of expression), gross or subtle, which you could not tolerate?"
62546,sāruppa,sāruppāya,SN 8.11 (simpl),unknown,yaṃnūn'āhaṃ bhagavantaṃ sammukhā <b>sāruppāya</b> gāthāya abhitthaveyyāmi,Maybe I should praise the Blessed One face-to-face with an appropriate verse.
62982,siyaṃ,siyaṃ,SN 22.3,unknown,"evaṃrūpo <b>siyaṃ</b> anāgatam'addhānaṃ, evaṃvedano siyaṃ anāgatam'addhānaṃ","In this regard, householder, some think [lit: there is thus for some], may I be of such form in the future, may I be having such feeling in the future."
62985,siyā 2,siyā,DN 16.36 (simpl),unknown,"siyā kho pana ananda, tumhākaṃ evaṃ assa — ""n'atthi no satthā"" iti.","And now, Ananda, it could be thus would occur to you: “there is no teacher for us.”"
62986,siyuṃ,siyuṃ,SN 22.3,unknown,"evaṃrūpo <b>siyuṃ</b> anāgatam'addhānaṃ, evaṃvedano siyaṃ anāgatam'addhānaṃ","may I be of such form in the future, may I be having such feeling in the future."
63071,sivathikā,sivathikāya,DN 22.7,unknown,bhikkhu seyyathāpi passeyya sarīraṃ <b>sivathikāya</b> chaḍḍitaṃ,Imagine if a monk could see a dead body discarded in a charnel ground.
64905,senā,senaṃ,VIN PAT PC 49,unknown,siyā ca tassa bhikkhuno koci'd'eva paccayo <b>senaṃ</b> gamanāya,And if there might be some or other reason for that monk for going to see an army…
65589,vacanapathaṃ,vacanapathaṃ,MN 104,unknown,"ime ce tumhe cha sāraṇīye dhamme samādāya vatteyyātha, passatha no tumhe taṃ <b>vacanapathaṃ</b>, aṇuṃ vā thūlaṃ vā, yaṃ tumhe n’ādhivāseyyātha?","If you could practice undertaking these six cordial things, do you see any way of saying things (i.e. mode of expression), gross or subtle, which you could not tolerate?"
65726,vajjavant,,,,,
65996,vattati 1,,,,,
67347,vigatābhijjha,vigat’ābhijjhena,MN 107 (simpl),unknown,abhijjhaṃ loke pajaheyyuṃ <b>vigat’ābhijjhena</b> cetasā vihareyyuṃ; abhijjhāya cittaṃ parisodheyyuṃ,"They would abandon covetousness with reference to the world, they would dwell with a mind free from covetousness, they would purify the mind from covetousness."
69663,viharanta,,,,,
70966,hanati 3,haneyyuṃ,VIN PA.2,unknown,rājāno coraṃ gahetvā <b>haneyyuṃ</b> vā bandheyyuṃ vā pabbājeyyuṃ vā,"The king’s men, having captured a thief, could kill (him) or imprison him or banish him."
71011,harati 2,,,,,
75481,pūjā 1,pūjeti,DN 16.27,mahāparinibbānasuttaṃ,so tathāgataṃ <b>pūjeti</b> paramāya pūjāya,He honors the Buddha with the highest veneration.
75649,adhigaccheyya 2,adhigaccheyya,MN 39,unknown,"so tatonidānaṃ labheyya pāmojjaṃ, <b>adhigaccheyya</b> somanassaṃ","Because of that he would obtain gladness, he would experience pleasure."
78050,amanāpa 2,,,,,
