id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation,explanation
16316,upādāna 2,upādāna-nirodho,SN 10.8,unknown,"But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of <b>upādāna-nirodho</b>; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
16380,upāyāsa 1,upāyāsā,SN 10.8,unknown,"But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair <b>cease</b>.",
16404,upāsaka,upāsaka,SN 10.8,unknown,A Buddha has indeed arisen in the world.,A Buddha has indeed arisen in the world.,
16502,uposatha 1,uposathaṃ,VIN PAT NID nidānuddeso,unknown,"saṅgho <b>uposathaṃ</b> kareyya, pātimokkhaṃ uddiseyya",The community of monks could make an observance day [and] would recite the training rules.,
16596,uppanna 1,uppanna,SN 10.8,unknown,buddho kira loke <b>uppanno</b>,A Buddha has indeed arisen in the world.,
16653,uppāda 1.1,uppāda,TH 257 simpl,unknown,Buddho kira loke <b>uppāda</b>.,A Buddha has indeed arisen in the world.,
18216,ehi,,,,,,
20558,karoti 1,,,,,,
20798,kassapa 1,,,,,,
20959,kāma 3,kāma,DHP 331,unknown,Pali: 22. <b>kāme</b> brāhmaṇa,"O, brahmin! … sensual pleasures",
21131,kāya 1.1,kāya,DN 22.5,unknown,"There are in this <b>kāya</b>, hair [on the head], hairs of the body, nails, teeth, skin.","There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
21807,kira 1,kira,TH 257 (simpl),unknown,A Buddha has indeed arisen in the world.,A Buddha has indeed arisen in the world.,
22853,kesa 1,kesā,DN 22.5,unknown,Atthi imasmiṃ kāye <b>kesā</b> lomā nakhā dantā taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
23439,khandha 3,khandhānaṃ,VIBH 6.1,unknown,10. <b>khandhānaṃ</b> bhedo,the break-up of the aggregates,
23520,khaya,,,,,,
24043,gacchati 1,,,,,,
24384,gabbha 3,gabbhe,VIN 1.4.1.2,unknown,Pali: 19. <b>gabbhe</b> cīvaraṃ,the robe in the room,
24742,gāma 1,,,,,,
25265,gotama 1,,,,,,
26276,carati 1.1,,,,,,
26368,cāga 1,cāga,MN 107,unknown,<b>cāga</b> paṭinissaggo anālayo,"The relinquishing, the abandonment, the non-attachment",
26826,cīvara 1,cīvaraṃ,VIN 1.1.4,unknown,gabbhe <b>cīvaraṃ</b>,the robe in the room,
28027,jarā,jarā,SN 10.8,unknown,jāti-nirodhā <b>jarā</b>-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.,"from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
28209,jāti 1,jāti,SN 10.8,unknown,"But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of <b>jāti</b>, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
28861,ñāṇadassana,ñāṇadassanassa,AN 10.48,unknown,uttarissa manussassa dhammo alam’ariyo <b>ñāṇadassanassa</b> viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
28867,ñāṇadassanavisesa,ñāṇadassanassa,AN 10.48,unknown,uttarissa manussassa dhammo alam’ariyo <b>ñāṇadassanassa</b> viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
28957,ñāya,ñāyassa,DN 22.1 (simpl),unknown,"It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
29346,taṇhā 1,taṇhā,SN 10.8,unknown,"But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of <b>taṇhā</b>; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
29667,tathāgata,buddho,DN 22.1 (simpl),unknown,"maggo hoti sokaparidevānaṃ samatikkamāya, ñāyassa adhigamāya, nibbānassa sacchikiriyāya.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
30163,tassa 1,tassa,DN 22.1 (simpl),unknown,<b>Tassa</b> bhagavato arahato sammā-sambuddhassa,"Homage to him, the Blessed One, the Worthy One, the fully Enlightened One.",
31388,tveva 1,tv'eva,SN 10.8,unknown,"avijjāya <b>tv'eva</b> asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
31611,thera 1.2,,,,,,
31866,danta 1.1,dantā,DN 22.5,unknown,Atthi imasmiṃ kāye kesā lomā nakhā <b>dantā</b> taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
32877,dukkha 3,dukkha,SN 56.11,unknown,"The relinquishing, the abandonment, the non-attachment, <b>dukkha</b> and despair cease.","The relinquishing, the abandonment, the non-attachment, pain, and despair cease.",
33953,deti 1,,,,,,
34018,deva 1,,,,,,
34108,devamanussā,devamanussānaṃ,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā <b>devamanussānaṃ</b> buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
34195,domanassa,domanassa,SN 35.28,unknown,sokehi paridevehi dukkhehi <b>domanassehi</b> upāyāsehi,"(burning) with griefs, lamentations, sufferings, displeasure, afflictions",
34627,dhamma 1.02,,,,,,
34628,dhamma 1.03,,,,,,
34630,dhamma 1.05,,,,,,
35388,nakha 1,nakhā,DN 22.5,unknown,Atthi imasmiṃ kāye kesā lomā <b>nakhā</b> dantā taco.,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
35805,namo,namo,,,,,
35842,nara,,,,,,
36456,nāmarūpa 1,nāmarūpa,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā <b>nāmarūpa</b>-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
37999,niraya,nirayaṃ,SN 12.41,unknown,vinipātaṃ <b>nirayaṃ</b>,"[reborn] in a state of suffering, in hell.",
38062,nirujjhati,nirujjhati,SN 10.8,unknown,"but from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, <b>nirujjhati</b> aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
38097,nirodha,nirodha,SN 10.8,unknown,"But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, <b>nirodha</b>, sorrow, lamentation, pain, displeasure, and despair cease.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, disappointment, and despair cease.",
38615,nīvaraṇa 1,nīvaraṇehi,MN 99,unknown,Pali: <b>nīvaraṇehi</b> brāhmaṇo English Translation: The brahmin [filled] with the [five] hindrances,The brahmin [filled] with the [five] hindrances,
40333,paṭiggaheti,,,,,,
40494,paṭinissagga,paṭinissagga,SN 56.11,unknown,cāgo <b>paṭinissagga</b> anālayo,"The relinquishing, the abandonment, the non-attachment",
41845,patta 1.1,,,,,,
43538,parideva,parideva,DN 22.1 (simpl),unknown,"maggo hoti sokaparidevānaṃ samatikkamāya, ñāyassa adhigamāya, nibbānassa sacchikiriyāya.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
45486,pāda 1,pāde,DN 22.18,unknown,[he places] a <b>foot</b> on a foot,[he places] a foot on a foot,
45566,pānīyathālaka,pānīyassa thālakaṃ,VIN PAT SE 55 (simpl),unknown,na sāmisena hatthena <b>pānīyassa thālakaṃ</b> paṭiggahessāmi iti sikkhā karaṇīyā,I will not take a cup for drinking water with a soiled hand.,
47057,purisadammasārathi,purisadammasārathi,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro <b>purisadammasārathi</b> satthā devamanussānaṃ buddho bhagavā’ti.,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
47646,phassa 1,phassa,SN 12.41,unknown,"saḷāyatana-nirodhā <b>phassa</b>-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
48273,bāla 2,bālassa,TH 251,unknown,For the delusion of the fool,for the delusion of the fool,
48511,buddha 1,buddho,TH 257 (simpl),unknown,A <b>Buddha</b> has indeed arisen in the world.,A Buddha has indeed arisen in the world.,
49033,brāhmaṇa 1,brāhmaṇena,SN 56.11,unknown,samaṇena vā <b>brāhmaṇena</b> vā devena vā mārena vā,with either a recluse or a brahmin or a deity or Mara,
49034,brāhmaṇa 2,brāhmaṇena,SN 56.11,unknown,samaṇena vā <b>brāhmaṇena</b> vā devena vā mārena vā,with either a recluse or a brahmin or a deity or Mara,
49136,bhagavato 1,bhagavato,VIN 1.1.3,unknown,itipi so <b>bhagavā</b> arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
49147,bhagavā,bhagavā,VIN 1.1.3,unknown,Itipi so <b>bhagavā</b> arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho <b>bhagavā</b>’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
49519,bhava 2,bhava,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā <b>bhava</b>-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
50270,bheda 2,bhedo,VIBH 6.1,unknown,khandhānaṃ <b>bhedo</b>,the break-up of the aggregates,
51177,manussa,manussa,AN 10.48,unknown,uttarissa <b>manussa</b>ssa dhammo alam’ariyo ñāṇadassanassa viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person",
51202,manussadhamma 1,,,,,,
51445,maraṇa,maraṇaṃ,SN 10.8,unknown,"Pali: avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-<b>maraṇaṃ</b> soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
52373,māra,mārena,SN 56.11,unknown,samaṇena vā brāhmaṇena vā devena vā <b>mārena</b> vā,with either a recluse or a brahmin or a deity or Mara,
53089,mūla 1,mūlesu,TH 257 (simpl),unknown,"araññe rukkhānaṃ <b>mūlesu</b>, kandarāsu guhāsu ca","At the foot of a tree in a forest, in valleys, and in caves.",
53383,moha 1,,,,,,
55044,rukkha 1,rukkhānaṃ,TH 257 (simpl),unknown,"Araññe <b>rukkhānaṃ</b> mūlesu, kandarāsu guhāsu ca.","At the foot of a tree in a forest, in valleys, and in caves.",
55972,loka 1,loka,TH 257 simpl,unknown,A Buddha has indeed arisen in the <b>world</b>.,A Buddha has indeed arisen in the world.,
56030,lokavidū,lokavidū,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato <b>lokavidū</b> anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti,"It is so (thus) “He is the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
56117,loma 1,lomā,DN 22.5,unknown,atthi imasmiṃ kāye kesā <b>lomā</b> nakhā dantā taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
56768,saṅkhāra 1,saṅkhāra,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā <b>saṅkhāra</b>-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
