id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation,explanation
14712,uttari 1.1,uttari,AN 10.48,unknown,Pali: <b>uttari</b>ssa manussassa dhammo alam’ariyo ñāṇadassanassa viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
14727,uttarimanussadhamma,uttarimanussadhamma,AN 10.48,unknown,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person, <b>uttarimanussadhamma</b>","the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person",
15111,uddisati 1,,,,,,
16316,upādāna 2,upādāna-nirodhā,SN 10.8,unknown,"But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of <b>upādāna-nirodhā</b>, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
16380,upāyāsa 1,upāyāsā,SN 10.8,unknown,jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'<b>upāyāsā</b> nirujjhanti.,"But from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
16404,upāsaka,upāsaka,SN 10.8,unknown,buddho kira loke <b>upāsaka</b>.,A Buddha has indeed arisen in the world.,
16502,uposatha 1,uposathaṃ,VIN PAT NID nidānuddeso,unknown,"saṅgho <b>uposathaṃ</b> kareyya, pātimokkhaṃ uddiseyya",The community of monks could make an observance day [and] would recite the training rules.,
16596,uppanna 1,uppanno,TH 257 (simpl),unknown,buddho kira loke <b>uppanno</b>,A Buddha has indeed arisen in the world.,
16653,uppāda 1.1,uppādāya,DN 22.18,unknown,[he arouses] desire for the arising of states of mind,[he arouses] desire for the arising of states of mind,
18216,ehi,,,,,,
20558,karoti 1,,,,,,
20798,kassapa 1,kassapassa,SN 19.21,unknown,in the discipline of the <b>Kassapa</b>,in the discipline of the Kassapa,
20959,kāma 3,,,,,,
21131,kāya 1.1,kāya,DN 22.5,unknown,Atthi imasmiṃ <b>kāya</b>e kesā lomā nakhā dantā taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
21807,kira 1,kira,TH 257 simpl,unknown,buddho <b>kira</b> loke uppanno,A Buddha has indeed arisen in the world.,
22853,kesa 1,kesā,DN 22.5,unknown,Atthi imasmiṃ kāye <b>kesā</b> lomā nakhā dantā taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
23439,khandha 3,khandhānaṃ,AN 8.53,unknown,Pali: 10. <b>khandhānaṃ</b> bhedo,the break-up of the aggregates,
23520,khaya,,,,,,
24043,gacchati 1,,,,,,
24384,gabbha 3,gabbhe,VIN 1.1.4,unknown,19. <b>gabbhe</b> cīvaraṃ,the robe in the room,
24742,gāma 1,,,,,,
25265,gotama 1,samaṇo gotamo,AN 10.29,unknown,<b>samaṇo gotamo</b>,The recluse Gotama,
26276,carati 1.1,,,,,,
26368,cāga 1,cāga,SN 56.11,unknown,<b>cāga</b> paṭinissaggo anālayo,"The relinquishing, the abandonment, the non-attachment",
26826,cīvara 1,cīvaraṃ,VIN 1.4.1.2,unknown,Aparena samayena buddho <b>cīvaraṃ</b>.,"on another occasion, the Awakened One...",
28027,jarā,jarā,SN 10.8,unknown,Jāti-nirodhā <b>jarā</b>-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.,"From the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
28209,jāti 1,jāti,SN 12.41,unknown,"But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of <b>jāti</b>; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
28861,ñāṇadassana,ñāṇadassanassa,AN 10.48,unknown,uttarissa manussassa dhammo alam’ariyo <b>ñāṇadassanassa</b> viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person",
28867,ñāṇadassanavisesa,ñāṇadassanassa,AN 10.48,unknown,uttarissa manussassa dhammo alam’ariyo <b>ñāṇadassanassa</b> viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
28957,ñāya,ñāyassa,DN 22.1 (simpl),unknown,"It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
29346,taṇhā 1,taṇhā-nirodho,SN 10.8,unknown,"But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of <b>taṇhā-nirodho</b>; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
29667,tathāgata,,,,,,
30163,tassa 1,tassa,,,,,
31388,tveva 1,tv'eva,SN 12.41,unknown,"avijjāya <b>tv'eva</b> asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
31611,thera 1.2,,,,,,
31866,danta 1.1,dantā,DN 22.5 simpl,unknown,Atthi imasmiṃ kāye kesā lomā nakhā <b>dantā</b> taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
32877,dukkha 3,dukkha,SN 56.11,unknown,<b>Dukkha</b>-domanass'upāyāsā nirujjhanti.,"Aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
33953,deti 1,,,,,,
34018,deva 1,,,,,,
34108,devamanussā,devamanussānaṃ,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā <b>devamanussānaṃ</b> buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
34195,domanassa,domanassehi,SN 35.28,unknown,"(burning) with griefs, lamentations, sufferings, distresses, afflictions, and <b>domanassehi</b> upāyāsehi","(burning) with griefs, lamentations, sufferings, distresses, afflictions",
34627,dhamma 1.02,,,,,,
34628,dhamma 1.03,,,,,,
34630,dhamma 1.05,,,,,,
35388,nakha 1,nakha,DN 22.5,unknown,"There are in this body, hair [on the head], hairs of the body, <b>nails</b>, teeth, skin.","There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
35805,namo,namo,unknown,unknown,,,
35842,nara,,,,,,
36456,nāmarūpa 1,nāmarūpa,SN 12.41,unknown,"But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of <b>nāmarūpa</b>; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
37999,niraya,nirayaṃ,SN 12.41,unknown,<b>nirayaṃ</b> vinipātaṃ,"[reborn] in a state of suffering, in hell.",
38062,nirujjhati,nirujjhanti,SN 10.8,unknown,jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā <b>nirujjhanti</b>.,"But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
38097,nirodha,nirodha,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-<b>nirodhā</b> saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
38615,nīvaraṇa 1,nīvaraṇehi,MN 99,unknown,The brahmin <b>nīvaraṇehi</b> brāhmaṇo,The brahmin [filled] with the [five] hindrances,
40333,paṭiggaheti,paṭiggahessāmi,VIN PAT SE 55 simpl,unknown,na sāmisena hatthena pānīyassa thālakaṃ <b>paṭiggahessāmi</b> iti sikkhā karaṇīyā,I will not take a cup for drinking water with a soiled hand.,
40494,paṭinissagga,,,,,,
41845,patta 1.1,,,,,,
43538,parideva,sokaparidevānaṃ,DN 22.1 (simpl),mahāsatipaṭṭhānasuttaṃ,"maggo hoti <b>sokaparidevānaṃ</b> samatikkamāya, ñāyassa adhigamāya, nibbānassa sacchikiriyāya.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
45486,pāda 1,,,,,,
45566,pānīyathālaka,pānīyathālaka,VIN PAT SE 55 (simpl),unknown,na sāmisena hatthena <b>pānīyathālakaṃ</b> paṭiggahessāmi iti sikkhā karaṇīyā,I will not take a cup for drinking water with a soiled hand.,
47057,purisadammasārathi,purisadammasārathi,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro <b>purisadammasārathi</b> satthā devamanussānaṃ buddho bhagavā’ti.,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
47646,phassa 1,phassa,SN 10.8,unknown,"saḷāyatana-nirodhā <b>phassa</b>-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
48273,bāla 2,,,,,,
48511,buddha 1,buddho,TH 257 (simpl),unknown,A <b>Buddha</b> has indeed arisen in the world.,A Buddha has indeed arisen in the world.,
49033,brāhmaṇa 1,brāhmaṇena,SN 56.11,unknown,samaṇena vā <b>brāhmaṇena</b> vā devena vā mārena vā,with either a recluse or a Brahmin or a deity or Mara,
49034,brāhmaṇa 2,,,,,,
49136,bhagavato 1,bhagavato,VIN 1.1.3,unknown,Itipi so <b>bhagavā</b> arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
49147,bhagavā,bhagavā,VIN 1.1.3,unknown,Pali: itipi so <b>bhagavā</b> arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) 'He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.'",
49519,bhava 2,bhava,SN 12.41,unknown,"avijjāya tv'eva asesa-virāga-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā <b>bhava</b>-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
50270,bheda 2,bhedo,VIBH 6.1,unknown,10. khandhānaṃ <b>bhedo</b>,the break-up of the aggregates,
51177,manussa,manussa,AN 10.48,unknown,uttarissa <b>manussa</b>ssa dhammo alam’ariyo ñāṇadassanassa viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person,",
51202,manussadhamma 1,,,,,,
51445,maraṇa,maraṇaṃ,SN 10.8,unknown,"Pali: jāti-nirodhā jarā-<b>maraṇaṃ</b> soka-parideva-dukkha-domanass'upāyāsā nirujjhanti. English Translation: from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.","from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
52373,māra,mārena,SN 56.11,unknown,Pali: 13. samaṇena vā brāhmaṇena vā devena vā <b>mārena</b> vā,with either a recluse or a brahmin or a deity or Mara,
53089,mūla 1,mūla,TH 257 simpl,unknown,"At the foot of a tree in a forest, in valleys, and in caves.","At the foot of a tree in a forest, in valleys, and in caves.",
53383,moha 1,,,,,,
55044,rukkha 1,rukkhānaṃ,DN 22.1 (simpl),unknown,"araññe <b>rukkhānaṃ</b> mūlesu, kandarāsu guhāsu ca","At the foot of a tree in a forest, in valleys, and in caves.",
55972,loka 1,loka,SN 10.8,unknown,buddho kira <b>loka</b> uppanno,A Buddha has indeed arisen in the world.,
56030,lokavidū,lokavidū,VIN 1.1.3,unknown,itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato <b>lokavidū</b> anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
56117,loma 1,lomā,DN 22.5,unknown,atthi imasmiṃ kāye kesā <b>lomā</b> nakhā dantā taco,"There are in this body, hair [on the head], hairs of the body, nails, teeth, skin.",
56768,saṅkhāra 1,saṅkhāra,SN 10.8,unknown,"avijjāya tv'eva asesa-virāga-nirodhā <b>saṅkhāra</b>-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
56770,saṅkhāra 3,saṅkhāra,SN 12.41,unknown,"<b>Saṅkhāra</b>-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
56989,saṅgha 1,saṅgho,VIN PAT NID,unknown,The community of monks could make an observance day [and] would recite the training rules.,The community of monks could make an observance day [and] would recite the training rules.,
57194,sacchikiriyā,sacchikiriyāya,DN 22.1 (simpl),unknown,"maggo hoti sokaparidevānaṃ samatikkamāya, ñāyassa adhigamāya, nibbānassa <b>sacchikiriyāya</b>.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
57894,satthā,satthā,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi <b>satthā</b> devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
59177,samaṇa 1,,,,,,
59264,samatikkama,samatikkamāya,DN 22.1 (simpl),unknown,"maggo hoti sokaparidevānaṃ <b>samatikkamāya</b>, ñāyassa adhigamāya, nibbānassa sacchikiriyāya.","It is the path for the overcoming of sorrow and lamentation, for the attainment of the (right) method, for personal experience of total emancipation.",
59451,samaya 1.1,,,,,,
60590,sambuddha 1,sammāsambuddho,VIN 1.1.3,unknown,itipi so bhagavā arahaṃ <b>sammāsambuddho</b> vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
60788,sammā 1,sammā,SN 10.8,unknown,Pali: buddho kira loke uppanno,A Buddha has indeed arisen in the world.,
